"","Date","Species","latin","Time","Weather","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Method","Any.other.comments","team","loc","month"
"1","05/06/2017","Brown long-eared bat","Plecotus auritus","00:53",NA,1,"Alive","SK 7029 5188","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","jun"
"2",NA,"Brown long-eared bat","Plecotus auritus",NA,NA,1,"Alive","TG 19176 06907","Woodland","Broadleaved","Sparse field layer, moderate shrub layer","All","Bat detector (sound recording)",NA,"nbm","east","jun"
"3","21/02/2017","Common pipistrelle bat","Pipistrellus pipistrellus","18:01","Dry",1,"Alive","SU423152","Human Site","Urban, Stream","Residential, Banks vegetated, Slow running",NA,NA,NA,"smw","sout","feb"
"4","21/02/2017","Common pipistrelle bat","Pipistrellus pipistrellus","18:06","Dry",1,"Alive","SU423153","Human Site","Urban, Stream","Residential, Banks vegetated, Slow running",NA,NA,NA,"smw","sout","feb"
"5","21/02/2017","Common pipistrelle bat","Pipistrellus pipistrellus","18:01","Dry",1,"Alive",NA,"Human Site","Urban, Stream","Residential, Banks vegetated, Slow running",NA,NA,NA,"smw","sout","may"
"6","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:54",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"7","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:32",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"8","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:34",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"9","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:31",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"10","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:16",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"11","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:05",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"12","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:58",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"13","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:56",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"14","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:46",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"15","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:32",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"16","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:18",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"17","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:34",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"18","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:45",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"19","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:32",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"20","07/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:26",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"21","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:29",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"22","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:17",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"23","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:49",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"24","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:28",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"25","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:21",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"26","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:41",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"27","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"28","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:42",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
