"","Date","Time","latin","Species","Weather","Type.of.sign","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Confirmed.by","Any.other.comments","team","loc","month"
"4","12/03/2017","20:51","Meles meles","Badger","mild, slightly windy","tree scraping","57.177331, -2.109218","Woodland","Mixed","Moderate field layer","Rebecca","Cristin",NA,"att","aber","mar"
"5","07/03/2017","15:05","Meles meles","Badger","Dry, sunny","footprints","SK 7001 5136","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","HL",NA,NA,"brb","nott","mar"
"6","07/03/2017","14:30","Meles meles","Badger","Dry, sunny","footprints","SK 7005 5162","Open land","Farmland","Hedgerow with trees, high/medium disturbance, crops","HL",NA,NA,"brb","nott","mar"
"7","13/02/2017","12:45","Meles meles","Badger","Dry, sunny","Sett","SK 698 512","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, plantation","HL",NA,NA,"nbm","east","feb"
"8","07/03/2017","14:45","Meles meles","Badger","Dry, sunny","footprints","SK 6992 5150","Open land","Farmland","Hedgerow with trees, high/medium disturbance, crops","HL",NA,NA,"brb","nott","mar"
"9","21/03/2017","13:00","Meles meles","Badger","Dry, sunny","footprints","SK 7029 5161","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,"Photo","brb","nott","mar"
"10","28/01/2017","13:15","Meles meles","Badger","Rain","Tracks ","NS 37571 96043","Woodland ","Broadleaved ","Moderate Shrub Layer ","RT","Uni Staff",NA,"gun","glas","jan"
"11","07/03/2017","12:40","Meles meles","Badger","Dry, sunny","footprints","SK 7032 5154","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,NA,"brb","nott","mar"
"12","21/03/2017","12:30","Meles meles","Badger","Dry, sunny","Latrine","SK 7014 5188","Open land","Farmland","Hedgerow with trees, high/medium disturbance, crops","HL",NA,NA,"brb","nott","mar"
"13","21/03/2017","13:03","Meles meles","Badger","Dry, sunny","footprints","SK 7029 5161","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,"Photo","brb","nott","mar"
"14","07/03/2017","15:20","Meles meles","Badger","Dry, sunny","Latrine","SK 7015 5190","Open land","Farmland","Hedgerow with trees, high/medium disturbance, crops","HL",NA,"Photo","brb","nott","mar"
"15","31/03/2017","13:45","Meles meles","Badger","Dry, sunny","footprints","SK 6983 5125","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","HL",NA,NA,"brb","nott","mar"
"16","06/03/2017","11:07am","Meles meles","Badger","clear","print","51.91758586, -2.31007398","Open Land","Farmland","Hedgerow without trees, low disturbance, road near","Alice + James","Lucy Bearman - Brown",NA,"wwa","hart","mar"
