"","Date.of.deployment","Time","Date.of.collection","Time.1","Tunnel.number","Location..OS.coordinates.","latin","Species","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Confirmed.by","Any.other.comments","team","loc","month"
"1","20/02/2017","11:30","24/02/2017","10:30",1,"SX8730758649","Meles meles","Badger","woodland","mixed","sparse shrubs","all the team","stu collier",NA,"sdc","sdev","feb"
"2","04/06/2017","17:00","04/07/2017","16:00",1,"SU 98624 49798","Rattus norvegicus","Brown rat","Waterbody","Lake","Near railway, low disturbance","Yuma, Dixie, Zoe",NA,NA,"tsu","surr","apr"
"3","23/05/2017","14:40","24/05/2017","14:00",2,"SU 98807 49979","Rattus norvegicus","Brown rat","Human ","Suburban","Gardens, residential, low disturbance",NA,NA,NA,"tsu","surr","may"
"4","04/04/2017","17:15","04/05/2017","17:30",2,"SU 98624 49798","Rattus norvegicus","Brown rat","Human site","Suburban","Near railway, low distubrance, recreational ground","Yuma, Dixie, Zoe",NA,NA,"tsu","surr","apr"
"5","04/05/2017","17:00","04/06/2017","17:00",1,"SU 98624 49798","Rattus norvegicus","Brown rat","Waterbody","Lake","Near railway, low disturbance","Yuma, Dixie, Zoe",NA,NA,"tsu","surr","apr"
"6","04/06/2017","17:30","04/07/2017","16:30",2,"SU 98624 49798","Rattus norvegicus","Brown rat","Human site","Suburban","Near railway, low disturbance, recreational ground","Yuma, Dixie, Zoe",NA,NA,"tsu","surr","apr"
"7","04/05/2017","17:30","04/06/2017","17:30",2,"SU 98624 49798","Rattus norvegicus","Brown rat","Human site","Suburban","Near railway, low disturbance, recreational ground","Yuma, Dixie, Zoe",NA,NA,"tsu","surr","apr"
"8","17/05/2017","12:15","22/05/2017","15:00",3,"SO945230","Rattus norvegicus","Brown rat","Human site","Suburban","Residential, Gardens, near road","Tom","Isaac",NA,"uog","glou","may"
"9","04/04/2017","17:00","04/05/2017","17:00",1,"SU 98624 49798","Rattus norvegicus","Brown rat","Waterbody","Lake","Near railway, low disturbance","Yuma, Dixie Zoe",NA,NA,"tsu","surr","apr"
"10","30/3/17","18:00","31/3/17","09:00",1,"SU 98624 49798","Rattus norvegicus","Brown rat","Human Site","Suburban","Residential, Gardens","Zoe",NA,NA,"tsu","surr","mar"
