"","Date","Survey.method","ID","Station","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","team","loc","month"
"4","01/04/2017","Camera trap","Camera 1",NA,"57.1735883, -2.097923","Woodland","Mixed","Moderate shrub layer","att","aber","apr"
"5","01/04/2017","Camera trap","Camera 2",NA,"57.173894, -2.099075","Woodland","Mixed","Moderate shrub layer","att","aber","apr"
"1","06/04/2017","Standard walk","SW1",NA,"57.172535, -2.103433","Waterbodies","River","Fast running","att","aber","apr"
"2","11/04/2017","Standard walk","SW2",NA,"57.172535, -2.103434","Waterbodies","River","Fast running","att","aber","apr"
"3","28/04/2017","Standard walk","SW3",NA,"57.172535, -2.103435","Waterbodies","River","Fast running","att","aber","apr"
"10","30/01/2017","Camera trap","Camera 2","-","SK69824 53016","Waterbodies","Stream","Banks vegetated, Low banks, Slow/medium running, Near road (50m)","mdb","nott","apr"
"38","30/01/2017","Line transect","T1","1","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","rum","rum.","apr"
"6","30/01/2017","Line transect","T1","1",NA,"Waterbody","Pond","Banks vegetated, low banks, disturbed","kpl","kent","apr"
"68","30/01/2017","Line transect","T2","1","SU 87109 57060","Woodland; human site","Mixed; urban","Moderate shrub layer, moderate field layer; residential","tns","farn","apr"
"394","30/01/2017","Camera Trap","Camera 1",NA,"SO 78569 22936","Human Site ","Rural ","Disused, Garden, Near road (50m) ","hhe","hart","jan"
"11","02/02/2017","Camera trap","Camera 3","-","SK69786 52951","Open land","Meadow","Pasture, High/medium disturbance from people","mdb","nott","apr"
"13","02/02/2017","Camera trap","Camera 7","-","SK69591 53078","Woodland","Broadleaved","Moderate shrub layer, Moderate field layer","mdb","nott","apr"
"197","02/02/2017","Camera trap","Camera 4","1","SK69459 52388","Woodland","Broadleaved","Moderate shrub layer, Near road (50m)","mdb","nott","feb"
"198","02/02/2017","Camera trap"," Camera 5","1","SK69082 52612","Open land","Farmland","Active farmland, crops, Hedgerow without trees, high/medium disturbance from people","mdb","nott","feb"
"17","02/02/2017","Line transect","T1","1","SK69650 52806","Open land","Farmland","Active farmland, Crops, Hedgerow without trees, near road (50m)","mdb","nott","apr"
"18","02/02/2017","Line transect","T1","2","SK69636 52771","Open land","Farmland","Active farmland, Crops, near road (50m)","mdb","nott","apr"
"19","02/02/2017","Line transect","T1","3","SK69607 52715","Open land","Farmland","Active farmland, Crops, Hedgerow without trees, near road (50m)","mdb","nott","apr"
"20","02/02/2017","Line transect","T2","1","SK69512 52615","Open land","Farmland","Active farmland, Crops, Hedgerow without trees, near road (50m)","mdb","nott","apr"
"21","02/02/2017","Line transect","T2","2","SK69434 52621","Open land","Farmland","Active farmland, Crops, Hedgerow without trees, near road (50m)","mdb","nott","apr"
"22","02/02/2017","Line transect","T2","3","SK69379 52623","Open land","Farmland","Active farmland, Crops, Hedgerow without trees, near road (50m)","mdb","nott","apr"
"23","02/02/2017","Line transect","T3","1","SK69431 52993","Woodland","Mixed","Moderate shrub layer, Moderate field layer, High/medium disturbance from people","mdb","nott","apr"
"24","02/02/2017","Line transect","T3","2","SK69486 53016","Woodland","Mixed","Moderate shrub layer, Moderate field layer, High/medium disturbance from people","mdb","nott","apr"
"41","02/02/2017","Line transect","T3","2","SU 73678 72054","Woodland","Broadleafed","Moderate shrub layer","rum","rum.","apr"
"25","02/02/2017","Line transect","T3","3","SK69524 53036","Woodland","Mixed","Moderate shrub layer, Moderate field layer, High/medium disturbance from people","mdb","nott","apr"
"26","02/02/2017","Line transect","T4","1","SK 69370 52298","Open land","Farmland","Active farmland, Low disturbance, Other field boundary, Near road (50m)","mdb","nott","apr"
"27","02/02/2017","Line transect","T4","2","SK 69376 52329","Open land","Farmland","Active farmland, Low disturbance, Other field boundary, Near road (50m)","mdb","nott","apr"
