"","Date","Time","latin","Species","Weather","Transect","Count","Distance","Observer","Any.other.comments","team","loc","month"
"1","09/03/2017","18:25","Vespertilionidae sp.","Bat (sp)","Clear","T1",1,"13","All","Specific species unknown, believed to be pipistrelle. Approx 13 metres from line.","hhe","hart","mar"
"2","16/03/2017","17:45","Vespertilionidae sp.","Bat (sp)","Cloudy","2",1,"30","Ellie",NA,"nbm","east","mar"
"3","28/04/2017","19:20","Lepus europaeus","European hare","Overcast","T4",3,"30m","Tay",NA,"tbt","lanc","apr"
"4","20/03/2017","17:04","Lepus europaeus","European hare","Overcast","4",2,"20","Josh","Mad march hares ","tbt","lanc","mar"
"5","20/01/2017","16:12","Lepus europaeus","European hare","Sunny/dusk","T3",1,"20",NA,NA,"tbt","lanc","jan"
"6","20/03/2017","17:04","Lepus europaeus","European hare","Overcast","4",3,"20","Tay","Mad march hares ","tbt","lanc","mar"
"7","20/03/2017","17:03","Lepus europaeus","European hare","Overcast","4",2,"30","Matt","Mad march hares ","tbt","lanc","mar"
"8","20/03/2017","16:45","Lepus europaeus","European hare","Overcast","2",2,"25","Jack","Mad march hares ","tbt","lanc","mar"
"9","20/01/2017","16:05","Lepus europaeus","European hare","Sunny/dusk","T2",1,"30",NA,NA,"tbt","lanc","jan"
"10","26/05/17","05:32","Lepus europaeus","European hare","Sunny/dawn","T4",2,"20m","Jack",NA,"tbt","lanc","may"
"11","20/02/2017","12:01","Lepus europaeus","European hare","Drizzle ","T4",1,"25","Matt",NA,"tbt","lanc","feb"
"12","28/04/2017","19:00","Lepus europaeus","European hare","Overcast","T2",2,"25m","Matt",NA,"tbt","lanc","apr"
"13","31/01/2017","17:34","Rattus norvegicus","Brown rat","cloudy","LT3",1,"5",NA,NA,"bba","bris","jan"
"14","30/04/2017","8.30pm","Rattus norvegicus","Brown rat","Lightly raining",NA,2,"1m","Charlotte",NA,"rum","rum.","apr"
"15","26/04/2016","9pm","Rattus norvegicus","Brown rat","Overcast",NA,2,"2m","Ollie & Sean",NA,"rum","rum.","may"
"16","26/04/2016","9pm","Rattus norvegicus","Brown rat","Overcast",NA,2,"2m","Ollie & Sean",NA,"rum","rum.","apr"
"17","12/04/2017","4pm","Rattus norvegicus","Brown rat","Cloudy",NA,1,"1m","Charlotte",NA,"rum","rum.","apr"
"18","30/04/2017","8.30pm","Rattus norvegicus","Brown rat","Lightly raining",NA,2,"1m","Charlotte",NA,"rum","rum.","may"
"19","12/04/2017","4pm","Rattus norvegicus","Brown rat","Cloudy",NA,1,"1m","Charlotte",NA,"rum","rum.","may"
"20","01/02/2017",NA,"Felis catus","Domestic cat","Cloudy","Transect 3",1,"6","Samantha Purton",NA,"suc","swan","feb"
