"","Date","Time","Weather","latin","Species","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Any.other.comments","team","loc","month"
"1","28/01/2017","13:15","Rain","Meles meles","Badger",NA,NA,"NS 37571 96043","Woodland ","Broadleaved ","Moderate Shrub Layer ","RT","FIeld Sign","gun","glas","jan"
"2","14/01/2017","3pm","Overcast","Felis catus","Domestic cat","1","Alive","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Holding dead mouse in mouth","rum","rum.","apr"
"3","14/01/2017","3pm","Overcast","Felis catus","Domestic cat","1","Alive","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Holding dead mouse in mouth","rum","read","feb"
"4","14/01/2017","3pm","Overcast","Felis catus","Domestic cat","1","Alive","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Holding dead mouse in mouth","rum","read","mar"
"5","14/01/2017","3pm","Overcast","Felis catus","Domestic cat","1","Alive","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Holding dead mouse in mouth","rum","read","jan"
"6","23/02/2017","19:36","Dark","Felis catus","Domestic cat","1","Alive","NY413553","Human site","Suburban","Recreational area","Ruth ",NA,"tmo","cumb","feb"
"7","14/02/2017","14:43","Cloudy","Felis catus","Domestic cat","1","Alive","NY413552","Human site","Suburban","Recreational area","Sophie","Ginger tabby","tmo","cumb","feb"
"8","27/01/2017","19:18","Cloudy","Felis catus","Domestic cat","1","Alive","NY413552","Human site","Suburban","Recreational area","Jason","Ginger tabby","tmo","cumb","jan"
"9","14/01/2017","3pm","Overcast","Felis catus","Domestic cat","1","Alive","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Holding dead mouse in mouth","rum","rum.","may"
"10","14/01/2017","3pm","Overcast","Felis catus","Domestic cat","1","Alive","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Holding dead mouse in mouth","rum","rum.","jun"
"11","27-Feb","07:30","Sunny ","Felis catus","Domestic cat","2","Alive","NJ 93894 08332","Human site","Urban","Residential ","Kevin and Rebecca",NA,"fff","aber","feb"
"12","13-Feb","08:44","Cloudy","Vulpes vulpes","Red fox","1","Alive","NJ 93676 08739","Human site","Urban","Gardens","All",NA,"fff","aber","feb"
"13","08/02/2017","14:00","SUN AND SHOWERS","Sciurus carolinensis","Grey squirrel","1","alive","SX8723658309","human","suburban","garden","all team","bird feeder in our animal gardens","sdc","sdev","feb"
"14","25/03/2017","12:11","sunny","Sciurus carolinensis","Grey squirrel","1","Alive","57.177192, -2.102145","Woodland","Mixed","Sparse/No shrub layer","Rebecca ",NA,"att","aber","mar"
"15","15/02/2017","13:45","sunny","Sciurus carolinensis","Grey squirrel","2","alive","57.177089, -2.103762","Woodland","Mixed","Moderate shrub layer","Jen ","on opposite side of bank","att","aber","feb"
"16","13/02/2017","12:20","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98788 50423","Human site","Suburban","Recreational ground","Zoe",NA,"tsu","surr","feb"
"17","13/02/2017","12:05","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98233 50218","Human site","Suburban","Residential, recreational","Yuma",NA,"tsu","surr","feb"
"18","19/02/2017","11:25","Cloudy, mild","Sciurus carolinensis","Grey squirrel","1","alive",NA,NA,NA,NA,NA,NA,"uog","glou","mar"
"19","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","3","Alive","SS 63158 92156","Woodland","Mixed","Dense shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","may"
"20","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SS 63223 92147","Woodland","Mixed","Dense shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","may"
"21","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63033 92174","Woodland","Mixed","Dense shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","may"
"22","19/02/2017","11:25","Cloudy, mild","Sciurus carolinensis","Grey squirrel","1","alive",NA,NA,NA,NA,NA,NA,"uog","glou","feb"
"23","20/02/2017","11:40","Cloudy, mild","Sciurus carolinensis","Grey squirrel","2",NA,NA,NA,NA,NA,NA,NA,"uog","glou","may"
"24","20/02/2017","11:40","Cloudy, mild","Sciurus carolinensis","Grey squirrel","2",NA,NA,NA,NA,NA,NA,NA,"uog","glou","mar"
"25","20/02/2017","11:40","Cloudy, mild","Sciurus carolinensis","Grey squirrel","2",NA,NA,NA,NA,NA,NA,NA,"uog","glou","feb"
"26","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SS 63077 92195","Woodland","Broadleaved","Moderate shrub layer","Samantha Purton",NA,"suc","swan","may"
"27","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63075 92177","Woodland","Mixed","Moderate shrub layer","Samantha Purton",NA,"suc","swan","may"
"28","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63115 92216","Woodland","Mixed","Moderate shrub layer","Samantha Purton",NA,"suc","swan","may"
"29","19/02/2017","11:25","Cloudy, mild","Sciurus carolinensis","Grey squirrel","1","alive",NA,NA,NA,NA,NA,NA,"uog","glou","may"
"30","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63117 92118","Woodland","Mixed","Dense shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","may"
"31","22/05/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SS 63201 92204","Woodland","Mixed","Moderate shrub layer","Samantha Purton",NA,"suc","swan","may"
"32","29/04/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63225 92179","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","apr"
"33","07/04/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SS 63050 92193","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","apr"
"34","07/04/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63128 92257","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","apr"
"35","07/04/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63154 92329","Woodland","Broadleaved","Moderate Shrub layer, dense field layer","Samantha Purton",NA,"suc","swan","apr"
"36","10/06/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive ","SS 62803 92225","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","jun"
"37","10/06/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","2","Alive ","SS 62679 92154","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","jun"
"38","29/04/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63250 92169","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","apr"
"39","10/06/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive ","SS 62738 92188","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","jun"
