Date,Time,Weather,Transect,Species,Count,Distance
10/01/2017,16:25,Dry,1,Rat,1,30
11/01/2017,16:40,Dry,2,Rat,1,30
11/01/2017,16:27,Dry,2,Squirrel,1,10
11/01/2017,16:30,Dry,2,Squirrel,1,20
11/01/2017,16:39,Dry,2,Rat,1,90
14/01/2017,09:37:00,Dry,3,Rat,1,50
14/01/2017,09:47,Dry,2,Squirrel,1,50
14/01/2017,09:47,Dry,2,Squirrel,1,50
14/01/2017,09:47,Dry,2,Rat,1,70
14/01/2017,09:50,Dry,2,Squirrel,1,85
17/01/2017,16:24,Dry,3,Rat,1,0
17/01/2017,16:39,Dry,2,Squirrel,1,50
17/01/2017,16:41,Dry,2,Rat,1,60
17/01/2017,16:42,Dry,2,Squirrel,1,80
17/01/2017,16:50,Dry,1,Rat,1,60
21/01/2017,16:26,Overcast,1,Rat,1,70
21/01/2017,16:36,Overcast,2,Rat,1,60
21/01/2017,16:41,Overcast,3,Rat,1,100
22/01/2017,16:41,Dry,1,Rat,1,50
22/01/2017,17:06,Dry,3,Rat,2,35
22/01/2017,17:17,Dry,2,Rat,6,50
22/01/2017,17:20,Dry,2,Rat,2,55
23/01/2017,09:06,Foggy,3,Rat,3,0
23/01/2017,09:15,Foggy,2,Squirrel,2,0
23/01/2017,09:21,Foggy,1,Rat,1,50
23/01/2017,09:21,Foggy,1,Rat,1,55
25/01/2017,08:53,Overcast/Foggy,1,Rat,4,50
25/01/2017,09:06,Overcast/Foggy,2,Squirrel,1,100
25/01/2017,09:15,Overcast/Foggy,3,Rat,4,125
25/01/2017,09:12,Overcast/Foggy,3,Rat,1,60
26/01/2017,17:06,Overcast,3,Rat,3,100
