Date,Time,Weather,Transect,Species,Count,Distance
10/01/2017,11:02:00am,Sunny,T1,Squirrel ,1,10
10/01/2017,11:20:00am,Sunny,T1,Squirrel ,1,15
15/01/2017,8:00am,Cloudy,T1,Rabbit,2,20
15/01/2017,8:15am,Cloudy,T1,Squirrel ,1,15
15/01/2017,8:21am,Cloudy,T1,Squrrel,1,25
18/01/2017,3:00pm,Sunny,T2,Rabbit,2,10
18/01/2017,3:05pm,Sunny,T2,Rabbit ,1,20
20/01/2017,4:30pm,"Clear, dark",T2,Rabbit,1,25
22/01/2017,1:00pm,Sunny,T3,SquIrrel,2,30
22/01/2017,1:06pm,Sunny,T3,Squirrel ,1,10
22/01/2017,1:11pm,Sunny,T3,Rabbit,1,15
28/01/2017,4:00pm,Wet,T3,Rabbit,1,25
