Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
09-Jan,07:30,"Cold, clear",8,TG 19138 06916 - TG 19047 06945,Yellow-necked mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,07:40,"Cold, clear",9,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,07:48,"Cold, clear",11,TG 19138 06916 - TG 19047 06945,Common shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,07:53,"Cold, clear",12,TG 19138 06916 - TG 19047 06945,Pygmy shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,07:57,"Cold, clear",13,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,Recapture - fur clipping
09-Jan,08:12,"Cold, clear",16,TG 19138 06916 - TG 19047 06945,Pygmy shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:15,"Cold, clear",17,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:30,"Cold, clear",21,TG 19138 06916 - TG 19047 06945,Bank vole,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:33,"Cold, clear",22,TG 19138 06916 - TG 19047 06945,Pygmy shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:37,"Cold, clear",23,TG 19138 06916 - TG 19047 06945,Common shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:41,"Cold, clear",24,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:44,"Cold, clear",25,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:47,"Cold, clear",26,TG 19138 06916 - TG 19047 06945,Bank vole,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:50,"Cold, clear",27,TG 19138 06916 - TG 19047 06945,Field vole,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,08:56,"Cold, clear",29,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
09-Jan,09:00,"Cold, clear",30,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
