Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
01 January 2017,08:15,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
01 January 2017,11:00,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
01 January 2017,11:00,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
01 January 2017,11:00,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
03 January 2017,13:03,Sunny,Grey squirrel,2,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
03 January 2017,14:16,Overcast,Grey squirrel,3,Alive,SU 7386 7226,Woodland,Mixed,"Sparse/no shrub layer, Near road (50m)",Sophie,
03 January 2017,14:19,Overcast,Grey squirrel,1,Alive,SU 7375 7190,Woodland,Mixed,Moderate shrub layer,Sophie,
03 January 2017,15:00,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
04 January 2017,09:37,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
05 January 2017,11:17,Sunny,Grey squirrel,2,Alive,SU 7375 7190,Woodland,Mixed,Moderate shrub layer,Aimee,
05 January 2017,11:40,Sunny,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
05 January 2017,12:46,Sunny,Grey squirrel,2,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Sophie,
06 January 2017,11:04,Sunny,Grey squirrel,1,Alive,SU 7378 7189,Human site,Suburban,Gardens,Sophie,
06 January 2017,12:15,Sunny,Grey squirrel,2,Alive,SU 7378 7189,Human site,Suburban,Gardens,Team,
10 January 2017,09:22,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Aimee,
10 January 2017,13:19,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Aimee,
11 January 2017,11:52,Overcast,Grey squirrel,1,Alive,SU 7329 7189,Human site,Suburban,Gardens,Aimee,
12 January 2017,14:24,Raining,Grey squirrel,1,Alive,SU 7309 7187,Human site,Suburban,"Municipal park/recreational area, Near road (50m)",Steph,
15 January 2017,15:30,Overcast,Grey squirrel,1,Alive,SU 7375 7190,Woodland,Mixed,Moderate shrub layer,Steph,
16 January 2017,13:12,Raining,Grey squirrel,1,Alive ,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Aimee,
16 January 2017,13:24,Raining,Grey squirrel,1,Alive ,SU 7411 7205,Human site,Suburban,"Disused, Gardens",Aimee,
