Date,"Time (start,end)",Time Spotted,Weather,Temperature,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method
18/02/2017,-,15:59,Dry,9,Pipistrellus sp.,1,Alive,SU423148,,,,,Opportunistic
21/02/2017,"17:38, 18:45",17:38,Dry,12,S. Pipistrelle,1,Alive,SU423152,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,17:57,Dry,12,S. Pipistrelle,1,Alive,SU423152,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:01,Dry,12,C. Pipistrelle,1,Alive,SU423152,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:06,Dry,12,C. Pipistrelle,1,Alive,SU423153,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:08,Dry,12,S. Pipistrelle,1,Alive,SU423154,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:09,Dry,12,S. Pipistrelle,2,Alive,SU423155,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:17,Dry,12,S. Pipistrelle,1,Alive,SU423156,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:26,Dry,12,S. Pipistrelle,1,Alive,SU423157,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:28,Dry,12,S. Pipistrelle,1,Alive,SU423158,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:29,Dry,12,S. Pipistrelle,1,Alive,SU423159,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:30,Dry,12,S. Pipistrelle,1,Alive,SU423160,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
21/02/2017,,18:31,Dry,12,S. Pipistrelle,1,Alive,SU423161,Human Site,"Urban, Stream","Residential, Banks vegetated, Slow running",,
