Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/02/2017,13:44,21/02/2017,09:25,1,"57.1762227, -2.0981231",fox,4,Waterbodies,River,High/medium banks,Rebecca,Cristin,
01/02/2017,13:44,21/02/2017,09:25,1,"57.1762227, -2.0981231",wood mouse,1,Waterbodies,River,High/medium banks,Rebecca,Cristin,
01/02/2017,13:44,21/02/2017,09:25,1,"57.1762227, -2.0981231",Roe Deer,1,Waterbodies,River,High/medium banks,Rebecca,Cristin,buck
01/02/2017,12:54,21/02/2017,10:11,2,"57.173990, -2.099021",fox,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/02/2017,12:54,21/02/2017,10:11,2,"57.173990, -2.099021",Roe Deer,3,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,"1 buck, 2 deer"
01/02/2017,13:33,21/02/2017,09:41,3,"57.175950, -2.098415",rabbit,3,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/02/2017,13:33,21/02/2017,09:41,3,"57.175950, -2.098415",roe deer,22,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/02/2017,13:33,21/02/2017,09:41,3,"57.175950, -2.098415",grey squirrel,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/02/2017,13:33,21/02/2017,09:41,3,"57.175950, -2.098415",red squirrel,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/02/2017,13:33,21/02/2017,09:41,3,"57.175950, -2.098415",wood mouse,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
