Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/02/2017,,28/02/2017,,1,SK 6983 5205,Red fox,1,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,1,SK 6983 5205,Cat,1,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,2,SK 6991 5189,Red fox,4,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/02/2017,,28/02/2017,,2,SK 6991 5189,Roe deer,1,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/02/2017,,28/02/2017,,2,SK 6991 5189,Horse,1,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/02/2017,,28/02/2017,,2,SK 6991 5189,Brown hare,1,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/02/2017,,28/02/2017,,2,SK 6991 5189,Rabbit,7,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/02/2017,,28/02/2017,,3,SK 6966 5149,Badger,21,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,3,SK 6966 5149,Rabbit,5,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,3,SK 6966 5149,Wood mouse,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,3,SK 6966 5149,Brown hare,2,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,3,SK 6966 5149,Grey squirrel,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,3,SK 6966 5149,Red fox,12,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,4,SK 6983 5127,Badger,145,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,4,SK 6983 5127,Brown rat,113,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,4,SK 6983 5127,Wood mouse,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,4,SK 6983 5127,Grey squirrel,40,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,4,SK 6983 5127,Red fox,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,4,SK 6983 5127,Rabbit,9,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/02/2017,,28/02/2017,,5,SK 7003 5138,Brown hare,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/02/2017,,28/02/2017,,5,SK 7003 5138,Red fox,7,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/02/2017,,28/02/2017,,5,SK 7003 5138,Wood mouse,6,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
