Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
15/02/2017,11:49,22/02/2017,13:15,1,TQ 62584 49632,Badger,2,Human Site,Rural,Gardens,Lucy Mills,Ni Cornwell,This camera was placed outside a known badger sett on a boundary line between gardens and an animal collection area.
15/02/2017,11:49,22/02/2017,13:15,1,TQ 62584 49632,Fox,2,Human Site,Rural,Gardens,Lucy Mills,Ni Cornwell,This camera was placed outside a known badger sett on a boundary line between gardens and an animal collection area.
15/02/2017,11:49,22/02/2017,13:15,1,TQ 62584 49632,Rabbit,12,Human Site,Rural,Gardens,Lucy Mills,Ni Cornwell,This camera was placed outside a known badger sett on a boundary line between gardens and an animal collection area.
15/02/2017,11:49,22/02/2017,13:15,1,TQ 62584 49632,Wood Mouse,1,Human Site,Rural,Gardens,Lucy Mills,Ni Cornwell,This camera was placed outside a known badger sett on a boundary line between gardens and an animal collection area.
15/02/2017,12:35,22/02/2017,09:03,2,TQ 62692 49559,Badger,2,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch",Lucy Mills,Ni Cornwell,
15/02/2017,12:35,22/02/2017,09:03,2,TQ 62692 49559,Fox,15,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch",Lucy Mills,Ni Cornwell,
15/02/2017,12:35,22/02/2017,09:03,2,TQ 62692 49559,Rabbit,45,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch",Lucy Mills,Ni Cornwell,
15/02/2017,12:35,22/02/2017,09:03,2,TQ 62692 49559,Grey Squirrel,10,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch",Lucy Mills,Ni Cornwell,
15/02/2017,12:35,22/02/2017,09:03,2,TQ 62692 49559,Cat,1,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch",Lucy Mills,Ni Cornwell,
15/02/2017,12:35,22/02/2017,09:03,2,TQ 62692 49559,Wood Mouse,1,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch",Lucy Mills,Ni Cornwell,
15/02/2017,12:49,22/02/2017,09:12,3,TQ 62681 49563,Grey Squirrel,15,Waterbodies,Stream,"Banks vegetated, High/medium banks, slow running, disturbed",Lucy Mills,Ni Cornwell,
15/02/2017,12:49,22/02/2017,09:12,3,TQ 62681 49563,Fox,7,Waterbodies,Stream,"Banks vegetated, High/medium banks, slow running, disturbed",Lucy Mills,Ni Cornwell,
15/02/2017,12:49,22/02/2017,09:12,3,TQ 62681 49563,Rabbit,13,Waterbodies,Stream,"Banks vegetated, High/medium banks, slow running, disturbed",Lucy Mills,Ni Cornwell,
15/02/2017,13:15,22/02/2017,08:53,4,TQ 62970 49773,Grey Squirrel,11,Human Site,Suburban,Gardens,Lucy Mills,Ni Cornwell,"This camera is round the back of a collge building, the area is has low human traffic and is also next to a river"
15/02/2017,13:15,22/02/2017,08:53,4,TQ 62970 49773,Rabbit,34,Human Site,Suburban,Gardens,Lucy Mills,Ni Cornwell,"This camera is round the back of a collge building, the area is has low human traffic and is also next to a river"
15/02/2017,13:15,22/02/2017,08:53,4,TQ 62970 49773,Fox,2,Human Site,Suburban,Gardens,Lucy Mills,Ni Cornwell,"This camera is round the back of a collge building, the area is has low human traffic and is also next to a river"
15/02/2017,13:15,22/02/2017,08:53,4,TQ 62970 49773,Cat,1,Human Site,Suburban,Gardens,Lucy Mills,Ni Cornwell,"This camera is round the back of a collge building, the area is has low human traffic and is also next to a river"
