Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
06/02/2017,15:18,02/09/2017,13:33,1,SO 78438 23318,Brown rat,3,Woodland,Broadleaved,Dense shrub layer,Becky,,
06/02/2017,15:18,09/02/2017,13:33,1,SO 78438 23318,Grey squirrel,5,Woodland,Broadleaved,Dense shrub layer,Becky,,
06/02/2017,15:18,09/02/2017,13:33,1,SO 78438 23318,Rabbit,3,Woodland,Broadleaved,Dense shrub layer,Becky,,
06/02/2017,15:18,09/02/2017,13:33,1,SO 78438 23318,Mouse,22,Woodland,Broadleaved,Dense shrub layer,Becky,,"Species unclear, footage provided"
06/02/2017,15:18,09/02/2017,13:33,1,SO 78438 23318,Fox,1,Woodland,Broadleaved,Dense shrub layer,Becky,Katie/Kathy/Cicely,
10/02/2017,14:14,14/02/2017,17:55,1,SO 78428 23300,Fox,2,Woodland,Broadleaved,Moderate shrub layer,Becky,,Footage provided
10/02/2017,14:14,14/02/2017,17:55,1,SO 78428 23300,Rabbit,1,Woodland,Broadleaved,Moderate shrub layer,Becky,,
10/02/2017,14:14,14/02/2017,17:55,1,SO 78428 23300,Squirrel,2,Woodland,Broadleaved,Moderate shrub layer,Becky,,Footage provided
09/02/2017,16:30,20/02/2017,09:00,2,SO 78500 22906,Rabbit,40,Openland,Unimproved,"Hedgerow with trees, Near Road",Katie,,
09/02/2017,16:30,20/02/2017,09:00,2,SO 78500 22906,Cat,10,Openland,Unimproved,"Hedgerow with trees, Near Road",Katie,,
09/02/2017,16:30,20/02/2017,09:00,2,SO 78500 22906,Mouse,7,Openland,Unimproved,"Hedgerow with trees, Near Road",Katie,,Species unclear. Possibly Field Mouse
09/02/2017,16:30,20/02/2017,09:00,2,SO 78500 22906,Fox,4,Openland,Unimproved,"Hedgerow with trees, Near Road",Katie,,
09/02/2017,16:30,20/02/2017,09:00,2,SO 78500 22906,Squirrel,3,Openland,Unimproved,"Hedgerow with trees, Near Road",Katie,,
09/02/2017,16:30,20/02/2017,09:00,2,SO 78500 22906,Badger,1,Openland,Unimproved,"Hedgerow with trees, Near Road",Katie,,Photo Provided 
