Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
03/02/2017,13:30,05/02/2017,,2,SU 47496 30380,Brown Rat,1,Human site,Suburban,Disused,Seren & Sophie,(Barrie Roberts Biology Teacher),
03/02/2017,13:30,05/02/2017,,2,SU 47496 30380,Wood Mouse,1,Human site,Suburban,Disused,Seren & Sophie,(Barrie Roberts Biology Teacher),
03/02/2017,13:30,06/02/2017,,2,SU 47496 30380,Wood Mouse,1,Human site,Suburban,Disused,Seren & Sophie,(Barrie Roberts Biology Teacher),
03/02/2017,13:30,13/02/2017,,3,SU 47360 30308,Wood Mouse,1,Woodland,Broadleaved,Moderate shrub layer,Seren & Sophie,(Barrie Roberts Biology Teacher),
03/02/2017,13:30,14/02/2017,,3,SU 47360 30308,Wood Mouse,1,Woodland,Broadleaved,Moderate shrub layer,Seren & Sophie,(Barrie Roberts Biology Teacher),
10/02/2017,13:30,18/02/2017,,1,SU 47502 30439,Grey Squirrel,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,"Seren, Hannah & Barrie",
10/02/2017,13:30,26/02/2017,,1,SU 47502 30439,Grey Squirrel,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,"Seren, Hannah & Barrie",
10/02/2017,13:30,27/02/2017,,1,SU 47502 30439,Grey Squirrel,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,"Seren, Hannah & Barrie",
10/02/2017,13:30,28/02/2017,,1,SU 47502 30439,Grey Squirrel,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,"Seren, Hannah & Barrie",
10/02/2017,13:30,26/02/2017,,1,SU 47502 30439,Hedgehog,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,27/02/2017,,1,SU 47502 30439,Hedgehog,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,28/02/2017,,1,SU 47502 30439,Hedgehog,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,26/02/2017,,1,SU 47502 30439,Fox,1,Human site,Suburban,"Municipal park/ recreational area, residential, near road (50m), gardens",Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,15/02/2017,,2,SU 47496 30380,Brown Rat,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,17/02/2017,,2,SU 47496 30380,Brown Rat,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,28/02/2017,,2,SU 47496 30380,Brown Rat,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,16/02/2017,,2,SU 47496 30380,Wood Mouse,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,18/02/2017,,2,SU 47496 30380,Wood Mouse,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,19/02/2017,,2,SU 47496 30380,Wood Mouse,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
10/02/2017,13:30,26/02/2017,,2,SU 47496 30380,Wood Mouse,1,Human site,Suburban,Disused,Lauren & Rachel,Seren & Hannah,
