Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
04/02/2017,17:09,06/02/2017,16:20,3,SU 42252 15264,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,,,
04/02/2017,17:09,06/02/2017,16:20,3,SU 42252 15264,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,,,
21/02/2017,22:04,24/02/2017,10:00,3,SU 42252 15264,Cat,1,Woodland,Mixed,Sparse shrub layer,,,
02/02/2017,17:35,06/02/2017,16:30,2,SU 42176 15239,Muntjac,1,Woodland,Mixed,Sparse shrub layer,,,
03/02/2017,09:27,06/02/2017,16:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
04/02/2017,12:00,06/02/2017,16:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
04/02/2017,09:08,06/02/2017,16:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
06/02/2017,14:20,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
06/02/2017,15:29,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
07/02/2017,08:44,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
07/02/2017,09:34,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
07/02/2017,12:55,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
07/02/2017,13:33,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
07/02/2017,13:45,10/02/2017,11:30,2,SU 42176 15239,Squirrel,2,Woodland,Mixed,Sparse shrub layer,,,
08/02/2017,11:07,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
08/02/2017,12:56,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
09/02/2017,10:27,10/02/2017,11:30,2,SU 42176 15239,Dog,1,Woodland,Mixed,Sparse shrub layer,,,
09/02/2017,14:42,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/02/2017,10:29,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/02/2017,10:30,10/02/2017,11:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/02/2017,12:55,15/02/2017,11:00,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
11/02/2017,14:40,15/02/2017,11:00,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
12/02/2017,10:25,15/02/2017,11:00,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
12/02/2017,23:18,15/02/2017,11:00,2,SU 42176 15239,Fox,1,Woodland,Mixed,Sparse shrub layer,,,
13/02/2017,12:56,15/02/2017,11:00,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
13/02/2017,14:31,15/02/2017,11:00,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
14/02/2017,19:56,15/02/2017,11:00,2,SU 42176 15239,Fox,1,Woodland,Mixed,Sparse shrub layer,,,
