Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
06/02/2017,07:25,"Ground frost, light fog -1",,Hole,,Human site,Rural,Recreational area,Becky,Katie,
06/02/2017,7.41,"Ground frost, light fog -1",?,Track through hedgerow ,SO 78323 23143,Open land,Farmland,Hedgerow without trees/near road (50m),Katie ,Becky,
06/02/2017,07:47,"Ground frost, light fog -1",?,Hole ,SO 78349 23256,Open land,Farmland,Hedgerow with trees,Becky,Katie,
06/02/2017,07:52,"Ground frost, light fog -1",Rabbit,Rabbit Hole and Droppings,SO 7840223284,Open land,Farmland,Hedgerow with trees,Katie,Becky,
06/02/2017,08:35,"Ground frost, light fog -1",Rabbit/Fox?,Rabbit leg,SO 78915 23141,Human site,Rural,Gardens/residential/near road (50m),Katie/Becky,Lucy Bearman-Brown,"Believe it is a hind leg, severed at the tibia. Possibly fox activity? Photo provided."
06/02/2017,,"Ground frost, light fog -1",Rabbit,Droppings and pawprint ,SO 79111 23113,Human site,Rural,Near road (50m),Katie/Becky,,Photo provided
06/02/2017,08:53,"Ground frost, light fog -1",Rabbit,Droppings,SO 78699 22826,Human site,Rural,Disused gardens near road (50m),Becky,Katie,
06/02/2017,14:41,Light rain,?TBC,Hole,SO 78472 23297,Woodland,Broadleaved,Sparse/no shrub layer,Becky,,
06/02/2017,14:55,Light rain,Rabbit,"Warren, multiple entrances",SO 78438 23318,Woodland,Broadleaved,Dense shrub layer,Becky,,
08/02/2017,13:47,Overcast,Rabbit,"Warren, multiple entrances",SO 78422 23384,Woodland,Broadleaved,Dense shrub layer,Becky,,
09/02/2017,13:44,Overcast,Squirrel,Droppings,SO 78449 23308,Woodland,Broadleaved,Sparse/no shrub layer,Becky,,Photo provided - on top of an abandoned picnic table
10/02/2017,13:47,Overcast,Rabbit,Droppings,SO 78568 23266,Open land,Farmland,Grazed,Becky,,
10/02/2017,14:31,Light snow,Fox,Paw print,SO 78448 23387,Woodland,Broadleaved,Sparse/no shrub layer,Becky,Katie,Photo provided for confirmation
