Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
23-Feb,14:58,Storm Doris ,Mole,Mole hill,SU 7411 7200,Human Site,Suburban,Near road (50m),Sophie and Steph,NA,
23-Feb,15:08,Storm Doris ,Mole,Mole hill,SU 7374 7133,Human Site,Suburban,Gardens,Sophie and Steph,NA,
23-Feb,15:09,Storm Doris ,Grey squirrel,Cone,SU 7393 7136,Woodland,Coniferous,"Sparse/no shrub layer, Near road (50m)",Sophie and Steph,Phil Baker,
23-Feb,15:10,Storm Doris ,Mole,Mole hill,SU 7377 7131,Human Site,Suburban,Gardens,Sophie and Steph,NA,
23-Feb,15:11,Storm Doris ,Mole,Mole hill,SU 7381 7127,Human Site,Suburban,Gardens,Sophie and Steph,NA,
23-Feb,15:12,Storm Doris ,Mole,Mole hill,SU 7384 7128,Human Site,Suburban,"Gardens, Near road (50m)",Sophie and Steph,NA,
23-Feb,15:14,Storm Doris ,Mole,Mole hill,SU 7384 7214,Human Site,Suburban,"Gardens, Near road (50m)",Sophie and Steph,NA,
23-Feb,15:16,Storm Doris ,Mole,Mole hill,SU 7381 7122,Human Site,Suburban,"Gardens, Near road (50m)",Sophie and Steph,NA,
23-Feb,15:19,Storm Doris ,Mole,Mole hill,SU 7376 7122,Human Site,Suburban,Gardens,Sophie and Steph,NA,
23-Feb,15:23,Storm Doris ,Mole,Mole hill,SU 7372 7141,Human Site,Suburban,Near road (50m),Sophie and Steph,NA,
23-Feb,15:41,Storm Doris ,Mole,Mole hill,SU 7364 7231,Human Site,Suburban,Gardens,Sophie and Steph,NA,
23-Feb,15:48,Storm Doris ,Mole,Mole hill,SU 7381 7218,Woodland,Mixed,"Sparse/no shrub layer, Near road (50m)",Sophie and Steph,NA,
23-Feb,15:51,Storm Doris ,Mole,Mole hill,SU 7473 7207,Woodland,Mixed,"Sparse/no shrub layer, Near road (50m)",Sophie and Steph,NA,
23-Feb,15:56,Storm Doris ,Mole,Mole hill,SU 7387 7183,Human Site,Suburban,Municipal park/recreational area,Sophie and Steph,NA,
23-Feb,15:56,Storm Doris ,Mole,Mole hill,SU 7382 7188,Human Site,Suburban,Municipal park/recreational area,Sophie and Steph,NA,
23-Feb,15:56,Storm Doris ,Mole,Mole hill,SU 7383 7192,Human Site,Suburban,Municipal park/recreational area,Sophie and Steph,NA,
23-Feb,15:56,Storm Doris ,Mole,Mole hill,SU 7386 7196,Human Site,Suburban,Municipal park/recreational area,Sophie and Steph,NA,
