Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
08/02/2017,09:33,15/02/2017,11:00,1,"51.91369126, -2.3125806",Mouse,Open Land,Unimproved,"Other field boundary, low disturbance, near road",Alice + James,Lucy Bearman - Brown,
08/02/2017,09:45,15/02/2017,11:00,2,"51.91481938, -2.30911654",Mouse,Open Land,Farmland,"Hedgerow without trees, low disturbance, road near",Alice + James,Lucy Bearman - Brown,
08/02/2017,10:00,15/02/2017,11:00,3,"51.91746393, -2.31008366",Mouse,Open Land,Meadow,"Hedgerow with trees, high/ medium disturbance from people, ",Alice + James,Lucy Bearman - Brown,
08/02/2017,10:10,15/02/2017,11:00,4,"51.917071, -2.309450",Mouse,Open Land,Meadow,"Hedgerow with trees, high/ medium disturbance from people, ",Alice + James,Lucy Bearman - Brown,
08/02/2017,10:30,15/02/2017,11:00,5,"51.91921378, -2.30843921",Mouse,Woodland,Broadleaved,"Dense shrub layer, moderate field layer",Alice + James,Lucy Bearman - Brown,
08/02/2017,10:05,15/02/2017,11:00,6,"51.91917172, -2.30841689",Mouse,Woodland,Broadleaved,"Dense shrub layer, moderate field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:30,28/02/2017,13:00,1,"51.91369126, -2.3125806",Mouse,Open Land,Unimproved,"Other field boundary, low disturbance, near road",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:45,28/02/2017,13:00,2,"51.91481938, -2.30911654",Mouse,Open Land,Farmland,"Hedgerow without trees, low disturbance, road near",Alice + James,Lucy Bearman - Brown,
24/02/2017,11:00,28/02/2017,13:00,3,"51.91746393, -2.31008366",Mouse,Open Land,Meadow,"Hedgerow with trees, high/ medium disturbance from people, ",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:35,28/02/2017,13:00,4,"51.917071, -2.309450",Mouse,Open Land,Meadow,"Hedgerow with trees, high/ medium disturbance from people, ",Alice + James,Lucy Bearman - Brown,
24/02/2017,11:30,28/02/2017,13:00,5,"51.91921378, -2.30843921",Mouse,Woodland,Broadleaved,"Dense shrub layer, moderate field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,11:35,28/02/2017,13:00,6,"51.91917172, -2.30841689",Mouse,Woodland,Broadleaved,"Dense shrub layer, moderate field layer",Alice + James,Lucy Bearman - Brown,
