Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
05/02/2017,Standard walk,SW1,,"57.172535, -2.103433",Waterbodies,River,Fast running
07/02/2017,Standard walk,SW2,,"57.172535, -2.103434",Waterbodies,River,Fast running
21/02/2017,Line transect,T1,,"57.17234, -2.10361",Woodland,Mixed,Moderate shrub layer
21/02/2017,Line transect,T2,,"57.17574, -2.10622 ",Woodland,Mixed,Moderate shrub layer
21/02/2017,Line transect,T3,,"57.1771480, -2.1058898",Woodland,Mixed,Moderate shrub layer
21/02/2017,Line transect,T4,,"57.17728, -2.10233",Woodland,Mixed,Moderate shrub layer
21/02/2017,Line transect,T5,,"57.17733, -2.09969",Waterbodies,River,High/medium banks
23/02/2017,Standard walk,SW3,,"57.172535, -2.103433",Waterbodies,River,Fast running
24/02/2017,Standard walk,SW4,,"57.172535, -2.103434",Waterbodies,River,Fast running
27/02/2017,Standard walk,SW5,,"57.172535, -2.103435",Waterbodies,River,Fast running
01/02/2017,Camera trap,Camera 1,,"57.1762227, -2.0981231",Waterbodies,River,High/medium banks
01/02/2017,Camera trap,Camera 2,,"57.173990, -2.099021",Woodland,Mixed,Moderate shrub layer
01/02/2017,Camera trap,Camera 3,,"57.175950, -2.098415",Woodland,Mixed,Moderate shrub layer
