Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
01/02/2017,Camera trap,Camera 1,1,SK 6983 5205,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation"
01/02/2017,Camera trap,Camera 2,1,SK 6991 5189,Open land,Farmland,"Crops, hedgerow with trees, low disturbance"
01/02/2017,Camera trap,Camera 3,1,SK 6966 5149,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation"
01/02/2017,Camera trap,Camera 4,1,SK 6983 5127,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation"
01/02/2017,Camera trap,Camera 5,1,SK 7003 5138,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural"
01/02/2017,Camera trap,Camera 6,1,SK 7034 5153,Waterbody,Pond,"Banks vegetated, low banks"
01/02/2017,Camera trap,Camera 7,1,SK 7028 5188,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural"
01/02/2017,Camera trap,Camera 8,1,SK 7013 5170,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural"
01/02/2017,Camera trap,Camera 9,1,SK 7001 5218,Open land,Farmland,"Hedgerow with trees, high/medium disturbance, pasture"
01/02/2017,Line transect,T1,1,SK 6999 5136,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural"
01/02/2017,Line transect,T2,1,SK 6985 5187,Open land,Farmland,"Crops, hedgerow with trees, low disturbance"
01/02/2017,Line transect,T3,1,SK 6967 5153,Open land,Farmland,"Crops, hedgerow with trees, low disturbance"
01/02/2017,Line transect,T4,1,SK 7038 5149,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural"
01/02/2017,Line transect,T5,1,SK 6991 5200,Open land,Farmland,"Other field boundary, high/medium disturbance, pasture"
,,,,,,,
