Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
08/02/2017,Line transect,T1,2,TQ 63094 49684,Waterbodies,River,"Banks vegetated, high/medium banks, slow/medium running, undisturbed, near road (50m)"
08/02/2017,Line transect,T1,2,TQ 63094 49684,Open Land,Farmland,"Grazed (Cows/Sheep), pasture, Hedgerow with Trees, Low disturbance"
08/02/2017,Line transect,T2,1,TQ 62577 49661,Open Land,Farmland,"Grazed (Sheep), pasture, Hedgerow with Trees, Low disturbance"
08/02/2017,Line transect,T3,1,TQ 62736 49669,Human Site,Rural,Gardens
08/02/2017,Line transect,T4,1,TQ 62472 50025,Open land,Farmland,"Grazed (Horses), pasture, Hedgerow with trees, high/medium disturbance from people"
08/02/2017,Line transect,T5,2,TQ 62924 49645,Waterbodies,Ditch,"Banks vegetated, high/medium banks, slow/medium running, disturbed, near road (50m)"
08/02/2017,Line Transect,T5,2,TQ 62924 49645,Human Site,Suburban,Near road (50m) 
15/02/2017,Camera Trap,1,1,TQ 62584 49632,Human Site,Rural,Gardens
15/02/2017,Camera Trap,2,1,TQ 62692 49559,Woodland,Broadleaved,"Sparse/no shrub layer, near a ditch"
15/02/2017,Camera Trap,3,1,TQ 62681 49563,Waterbodies,Stream,"Banks vegetated, High/medium banks, slow running, disturbed"
15/02/2017,Camera Trap,4,1,TQ 62970 49773,Human Site,Suburban,Gardens
