Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
16/01/2017,Camera trap,Camera 1,1,SK69770 52626,Open land,Farmland,"Active farmland, crops, Hedgerow without trees, Low disturbance, Near road (50m)"
30/01/2017,Camera trap,Camera 2,1,SK69824 53016,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)"
02/02/2017,Camera trap,Camera 3,1,SK69786 52951,Open land,Meadow,"Pasture, High/medium disturbance from people"
02/02/2017,Camera trap,Camera 4,1,SK69459 52388,Woodland,Broadleaved,"Moderate shrub layer, Near road (50m)"
02/02/2017,Camera trap, Camera 5,1,SK69082 52612,Open land,Farmland,"Active farmland, crops, Hedgerow without trees, high/medium disturbance from people"
16/01/2017,Camera trap,Camera 6,1,SK69230 52910,Woodland,Broadleaved,"Sparse/no shrub layer, Sparse field layer, High disturbance from people "
02/02/2017,Camera trap,Camera 7,1,SK69591 53078,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer"
03/02/2017,Camera trap,Camera 8,1,SK69381 52324,Woodland,Broadleaved,"Sparse/no shrub layer, sparse field layer, near road (50m), low disturbance from people"
31/01/2017,Camera trap, Camera 9,1,SK69476 52186,Human site,Rural,"Gardens, Near road (50m)"
31/01/2017,Camera trap,Camera 10,1,SK69622 52267,Waterbodies,Pond,"Banks vegetated, High/medium banks, Disturbed"
02/02/2017,Line transect,T1,1,SK69650 52806,Open land,Farmland,"Active farmland, Crops, Hedgerow without trees, near road (50m)"
02/02/2017,Line transect,T1,2,SK69636 52771,Open land,Farmland,"Active farmland, Crops, near road (50m)"
02/02/2017,Line transect,T1,3,SK69607 52715,Open land,Farmland,"Active farmland, Crops, Hedgerow without trees, near road (50m)"
02/02/2017,Line transect,T2,1,SK69512 52615,Open land,Farmland,"Active farmland, Crops, Hedgerow without trees, near road (50m)"
02/02/2017,Line transect,T2,2,SK69434 52621,Open land,Farmland,"Active farmland, Crops, Hedgerow without trees, near road (50m)"
02/02/2017,Line transect,T2,3,SK69379 52623,Open land,Farmland,"Active farmland, Crops, Hedgerow without trees, near road (50m)"
02/02/2017,Line transect,T3,1,SK69431 52993,Woodland,Mixed,"Moderate shrub layer, Moderate field layer, High/medium disturbance from people"
02/02/2017,Line transect,T3,2,SK69486 53016,Woodland,Mixed,"Moderate shrub layer, Moderate field layer, High/medium disturbance from people"
02/02/2017,Line transect,T3,3,SK69524 53036,Woodland,Mixed,"Moderate shrub layer, Moderate field layer, High/medium disturbance from people"
02/02/2017,Line transect,T4,1,SK 69370 52298,Open land,Farmland,"Active farmland, Low disturbance, Other field boundary, Near road (50m)"
02/02/2017,Line transect,T4,2,SK 69376 52329,Open land,Farmland,"Active farmland, Low disturbance, Other field boundary, Near road (50m)"
02/02/2017,Line transect,T4,3,SK 69414 52327,Open land,Farmland,"Active farmland, Low disturbance, Near road (50m), Other field boundary"
02/02/2017,Line transect,T4,4,SK 69422 52382,Open land,Farmland,"Active farmland, Crops, Hedgerow with trees, Low disturbance, near road (50m)"
02/02/2017,Line transect,T5,1,SK 69414 52167,Human site,Rural,"Gardens, Near road (50m)"
02/02/2017,Line transect,T5,2,SK 69453 52178,Human site,Rural,"Gardens, Near road (50m)"
02/02/2017,Line transect,T5,3,SK 69515 52187,Human site,Rural,Gardens
