Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
08/02/2017,Opportunistic,O1,1,SS 62846 91613,Waterbodies,Pond,"Near road (50m), Low banks, Flat"
08/02/2017,Opportunistic,O2,2,SS 62943 91725,Woodland ,Mixed,"Sparse shrub layer, Near road (50m), Semi-natural"
09/02/2017,Opportunistic,O3,3,SS 62877 92096,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer"
13/02/2017,Opportunistic,O4,4,SS 63081 92220,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer"
20/02/2017,Opportunistic,O5,5,SS 62802 91578,Waterbodies,Pond,"Near road (50m), Low banks, Flat"
22/02/2017,Opportunistic,O6,6,SS 62877 92187,Woodland,Broadleaved,"Dense shrub layer, moderate field layer"
01/02/2017,Line Transect,T1,1,SS 62799 92170,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer"
01/02/2017,Line Transect,T1,1,SS 62815 92199,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer"
01/02/2017,Line Transect,T2,2,SS 62755 91747,Human Site,Rural,"Near road (50m), Disused"
01/02/2017,Line Transect,T2,2,SS 62734 91756,Human Site,Rural,"Near road (50m), Disused"
01/02/2017,Line Transect,T3,3,SS 62776 91580,Waterbodies,Pond,"Near road (50m), Low banks, Flat"
01/02/2017,Line Transect,T3,3,SS 62756 91563,Waterbodies,Pond,"Near road (50m), Low banks, Flat"
01/02/2017,Line Transect,T4,4,SS 62925 91682,Woodland ,Mixed,"Sparse shrub layer, Near road (50m), Semi-natural"
01/02/2017,Line Transect,T4,4,SS 62943 91684,Woodland ,Mixed,"Sparse shrub layer, Near road (50m), Semi-natural"
01/02/2017,Line Transect,T5,5,SS 62857 92135,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer"
01/02/2017,Line Transect,T5,5,SS 62837 92123,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer"
