Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
13/02/2017,Camera trap,C1,1,SW 7734 3498,Woodland,Broadleaved,"Semi-natural, near road, moderate shrub layer"
13/02/2017,Camera trap,C2,1,SW 7735 4200,Woodland,Broadleaved,"Semi-natural, near road, moderate shrub layer"
14/02/2017,Camera trap,C3,1,SW 7734 1159,Woodland,Mixed,"Dense shrub layer, plantation"
14/02/2017,Camera trap,C4,1,SW 7734 3678,Woodland,Broadleaved,"Moderate shrub layer, near road"
14/02/2017,Camera trap,C5,1,SW 7634 9362,Human Site,Rural,"Hedgerow with trees, high/medium disturbance from people"
14/02/2017,Camera trap,C6,1,SW 7634 9258,Human Site,Rural,"Hedgerow with trees, high/medium disturbance from people"
19/02/2017,Line Transect,T1,1,SW 7734 0667,Human Site,Rural,Municipal park/recreational area
19/02/2017,Line Transect,T1,2,SW 7734 1066,Human Site,Rural,Municipal park/recreational area
19/02/2017,Line Transect,T1,3,SW 7734 1565,Human Site,Rural,Municipal park/recreational area
19/02/2017,Line Transect,T2,1,SW 7734 0261,Human Site,Sub-urban,Near road/path
19/02/2017,Line Transect,T2,2,SW 7734 0759,Human Site,Sub-urban,Near road/path
19/02/2017,Line Transect,T2,3,SW 7734 1157,Human Site,Sub-urban,Near road/path
19/02/2017,Line Transect,T3,1,SW 7634 7364,Open Land,Meadow,"High/medium disturbance from people, hedgerow with trees, near road"
19/02/2017,Line Transect,T3,2,SW 7634 7459,Open Land,Meadow,"High/medium disturbance from people, hedgerow with trees, near road"
19/02/2017,Line Transect,T3,3,SW 7634 7654,Open Land,Meadow,"High/medium disturbance from people, hedgerow with trees, near road"
19/02/2017,Line Transect,T4,1,SW 7634 8530,Open Land,Meadow,"Low disturbance, hedgerow with trees, road within 50m"
19/02/2017,Line Transect,T4,2,SW 7634 8625,Open Land,Meadow,"Low disturbance, hedgerow with trees, road within 50m"
19/02/2017,Line Transect,T4,3,SW 7634 8921,Open Land,Meadow,"Low disturbance, hedgerow with trees, road within 50m"
19/02/2017,Line Transect,T5,1,SW 7735 3201,Woodland,Broadleaved,"Semi-natural, near road, moderate shrub layer"
19/02/2017,Line Transect,T5,2,SW 7735 3701,Woodland,Broadleaved,"Semi-natural, near road, moderate shrub layer"
19/02/2017,Line Transect,T5,3,SW 7735 4201,Woodland,Broadleaved,"Semi-natural, near road, moderate shrub layer"
