Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
01/02/2017,16:38,Overcast,3,Rat,1,125,"OM,FM,CB",
01/02/2017,16:57,Overcast,2,Squirrel,1,95,"OM,FM,CB",
01/02/2017,17:07,Overcast,1,Rat,1,55,"OM,FM,CB",
05/02/2017,19:38,Overcast,2,Squirrel,1,120,"OM,FM",
05/02/2017,19:44,Overcast,1,Rat,1,55,"OM,FM",
08/02/2017,08:52,Sunny,2,Squirrel,1,125,"OM,JM",
08/02/2017,09:02,Sunny,1,Rat,1,55,"OM,JM",
14/02/2017,16:06,Overcast,2,Squirrel,1,20,"FM,GH",
14/02/2017,16:09,Overcast,2,Squirrel,1,100,"FM,GH",
28/02/2017,18:30,Overcast,2,Rat,1,80,"OM,CB,JM,FM",
28/02/2017,18:31,Overcast,2,Rat,3,100,"OM,CB,JM,FM",
28/02/2017,18:34,Overcast,2,Rat,4,110,"OM,CB,JM,FM",
28/02/2017,18:34,Overcast,2,Rat,1,120,"OM,CB,JM,FM",
28/02/2017,18:37,Overcast,2,Rat,1,125,"OM,CB,JM,FM",
