Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
01-Feb,07:30,"Cold, clear",1,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,07:36,"Cold, clear",2,TG 19138 06916 - TG 19047 06945,Pygmy shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,07:53,"Cold, clear",10,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:04,"Cold, clear",15,TG 19138 06916 - TG 19047 06945,Yellow-necked mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:12,"Cold, clear",17,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,Recap; fur clipping
01-Feb,08:17,"Cold, clear",18,TG 19138 06916 - TG 19047 06945,Yellow-necked mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:20,"Cold, clear",19,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:26,"Cold, clear",20,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:33,"Cold, clear",23,TG 19138 06916 - TG 19047 06945,Pygmy shrew,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:37,"Cold, clear",25,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:41,"Cold, clear",27,TG 19138 06916 - TG 19047 06945,Wood mouse,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,
01-Feb,08:44,"Cold, clear",28,TG 19138 06916 - TG 19047 06945,Bank vole,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,,Recap; fur clipping
