Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
27/02/2017,23:00,Cloudy going dark,NY410554,0,Woodland,Mixed,Moderate shrub layer,Sophie,Davina Hill,Back of stems,Door was closed
27/02/2017,23:00,Cloudy going dark,NY410554,0,Woodland,Mixed,Moderate shrub layer,Jason,Davina Hill,Back of stems,Door was closed
27/02/2017,23:00,Cloudy going dark,NY410554,0,Woodland,Mixed,Moderate shrub layer,Ruth,Davina Hill,Back of stems,
27/02/2017,23:20,Cloudy going dark,NY410556,0,Human site,Urban,Disused area of shrub and gravel,Sophie,Davina Hill,Back of sports hall,
27/02/2017,23:30,Cloudy going dark,NY408555,0,Human site,Suburban,Garden,Ruth,Davina Hill,Back of Bowscale,
27/02/2017,23:40,Cloudy going dark,NY408556,0,Human site,Suburban,Garden,Ruth,Davina Hill,Back of Bowscale,
28/02/2017,10:15,Cloudy,NY410554,Wood mouse 1,Woodland,Mixed,Moderate shrub layer,Sophie,Davina Hill,Back of stems,
28/02/2017,10:20,Cloudy,NY410554,0,Woodland,Mixed,Moderate shrub layer,Hannah,Davina Hill,Back of stems,
28/02/2017,10:25,Cloudy,NY410554,0,Woodland,Mixed,Moderate shrub layer,Ruth,Davina Hill,Back of stems,
28/02/2017,10:30,Rain,NY410556,0,Human site,Urban,Disused area of shrub and gravel,Hannah,Davina Hill,Back of sports hall,
28/02/2017,10:35,Rain,NY408555,0,Human site,Suburban,Garden,Sophie,Davina Hill,Back of Bowscale,
28/02/2017,10:40,Rain,NY408556,0,Human site,Suburban,Garden,Hannah,Davina Hill,Back of Bowscale,
28/02/2017,18:00,Cloudy,NY410554,0,Woodland,Mixed,Moderate shrub layer,Sophie,Davina Hill,Back of stems,
28/02/2017,18:10,Cloudy,NY410554,0,Woodland,Mixed,Moderate shrub layer,Hannah,Davina Hill,Back of stems,
28/02/2017,18:10,Cloudy,NY410554,0,Woodland,Mixed,Moderate shrub layer,Ruth,Davina Hill,Back of stems,
28/02/2017,18:20,Cloudy,NY410556,0,Human site,Urban,Disused area of shrub and gravel,Hannah,Davina Hill,Back of sports hall,
28/02/2017,18:30,Cloudy,NY408555,0,Human site,Suburban,Garden,Sophie,Davina Hill,Back of Bowscale,
28/02/2017,18:40,Cloudy,NY408556,0,Human site,Suburban,Garden,Hannah,Davina Hill,Back of Bowscale,
