Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
01/02/2017,13:44,Sun/cloud,Cat - domestic,1,Alive,SO 78757 23022,Human site,Rural,Residential/Recreational,Becky,Hunting in the hedgerow (prey not visible)
01/02/2017,17:05,Overcast,Rabbit,1,Alive,SO 78612 22829,Open land,Farm land,Near road / hedgerow with trees,Becky,
02/02/2017,09:35,Rain,Rabbit,1,Dead,SO 78257 23230,Open land,Farm land,Near road / hedgerow with trees,Becky,Probable RTA
02/02/2017,11:02,Overcast,Grey squirrel,1,Alive,SO 78723 23009,Human site,Rural,Residential/Recreational/Other field boundary,Becky,
06/02/2017,07:05,"Ground Frost, foggy, -1",Rabbit,2,Alive ,SO 78806 22919 ,Human site,Rural,Recreational,Katie,
06/02/2017,07:57,"Ground Frost, foggy, -1",Fox,1,Dead,SO 78428 23306,Woodland,Broadleaved,Dense shrub layer,Becky,Juvenile. Cause of death unclear - no obvious trauma or disease. Photo provided
06/02/2017,08:06,"Ground Frost, foggy, -1",Grey Squirrel,1,Alive,SO 78450 23393,Woodland,Broadleaved,Sparse/no shrub layer,Becky,
10/02/2017,14:26,Sleet,Rabbit,1,Alive ,SO 78433 23349,woodland,broadleaved,Dense shrub layer,Becky,
10/02/2017,15:06,Overcast,Rabbit,1,Alive ,SO 78449 22945,Open land,Farm land,Near road / hedgerow with trees,Becky,
20/02/2017,09:16,"Overcast, 9",Grey squirrel,1,Alive,SO 78687 22873,Human Site ,Rural,Gardens ,Katie,
20/02/2017,09:20,"Overcast, 9",Rabbit,2,Alive,SO 78652 22826,Human Sire,Rural,"Gardens, near road (50m)",Katie,
