Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
01-Feb,07:30,Overcast,Grey squirrel,2,Alive,TG 19138 06916,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Shawnee & Max,Around bird feeders
02-Feb,08:00,Overcast,Grey squirrel,3,Alive,TG 19424 08270,woodland,Broadleaved,Dense shrub layer,Ellie,
02-Feb,08:00,Overcast,Grey squirrel,1,Alive,TG 19350 08170,Woodland,Broadleaved,Sparse field layer,Ellie,
02-Feb,12:05,Sunny spells,Grey squirrel,2,Alive,TG 19350 08170,Woodland,Broadleaved,Sparse field layer,Ellie,
02-Feb,14:10,Sunny spells,Cat,1,Alive,TG 19744 08552,Human,Suburban,Near Road,Ellie,
02-Feb,13:55,Sunny spells,Grey squirrel,2,Alive,TG 18833 07685,Woodland,Broadleaved,"Moderate shrub layer, sparse field layer",Steven,
03-Feb,13:15,Sunny spells,Rabbit,1,Alive,TG 19727 07470,Human,Suburban,Municipal park/recreational area,Steven,
05-Feb,21:20,Overcast,Rabbit,6,Alive,TG 19698 07457,Human,Suburban,Municipal park/recreational area,Steven,
05-Feb,21:30,Overcast,Cat,1,Alive,TG 20111 07480,Human,Suburban,Near Road,Steven,
06-Feb,15:02,"Sunny, some clouds",Grey squirrel,1,Alive,TG 19074 07578,Human,Urban,Near Road,Shawnee,
07-Feb,12:50,Drizzle,Muntjac,1,Alive,TG 19700 08059,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",Shawnee,
06-Feb,11:55,Sunny,Grey squirrel,1,Alive,TG 19697 07855,Woodland,Broadleaved,Sparse field layer,Ellen,
06-Feb,10:30,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
09-Feb,08:55,Light snow,Grey squirrel,1,Alive,TG 19355 08140,Human,Suburban,Municipal park/recreational area,Ellen,
09-Feb,22:55,Cloudy,Rabbit,2,Alive,TG 19399 08147,Human,Suburban,Municipal park/recreational area,Ellen,
12-Feb,14:40,Cloudy,Rabbit,1,Alive,TG 19652 07912,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation",Ellen,
12-Feb,16:45,Cloudy,Rabbit,1,Alive,TG 18981 07472,Human,Suburban,Municipal park/recreational area,Ellen,
13-Feb,10:50,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
14-Feb,09:45,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
14-Feb,15:30,Cloudy,Cat,1,Alive,TG 19101 08609,Human,Suburban,Near Road,Ellen,
16-Feb,08:50,Sunny,Cat,1,Alive,TG 19176 08467,Human,Suburban,Garden,Ellen,
16-Feb,19:30,Cloudy,Rabbit,1,Alive,TG 19354 08219,Human,Suburban,Municipal park/recreational area,Ellen,
17-Feb,11:30,Sunny,Grey squirrel,1,Alive,TG 19354 08208,Human,Suburban,Municipal park/recreational area,Ellen,
19-Feb,16:00,Cloudy,Rabbit,1,Alive,TG 19427 07898,Human,Suburban,Near Road,Ellen,
17-Feb,13:05,Sunny Spells,Grey squirrel,1,Alive,TG 19338 08192,Human,Suburban,Municipal park/recreational area,Steven,
20-Feb,12:20,Cloudy,Rabbit,1,Alive,TG 19092 07247,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer",Shawnee,
20-Feb,15:00,Overcast,Rabbit,1,Alive,TG 19549 07695,Human,Suburban,Near Road,Shawnee,
20-Feb,15:00,Overcast,Grey squirrel,1,Alive,TG 19549 07695,Human,Suburban,Near Road,Shawnee,
20-Feb,16:30,Overcast,Cat,2,Alive,TG 19580 08402,Human,Suburban,Near Road,Steven,
21-Feb,13:10,Sunny,Cat,1,Alive,TG 19176 08467,Human,Suburban,Garden,Ellen,
24-Feb,04:15,Cloudy,Rabbit,1,Alive,TG 19655 07713,Human,Suburban,Near Road,Ellen,
27-Feb,21:30,Clear,Rabbit,3,Alive,TG 19479 07687,Human,Suburban,Near Road,Steven,
28-Feb,16.45,Cloudy,Rabbit,1,Alive,TG 19425 07641,Human,Suburban,Near Road,Max,
