Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
04-Feb-17,18:17,Overcast,Red fox,1,Alive ,SU 7434 7184,Woodland,Mixed,Near road (50m),Aimee,
06-Feb-17,13:07,Overcast,Grey squirrel,3,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie ,
07-Feb-17,12:01,Overcast,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie ,
07-Feb-17,12:17,Overcast,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie ,
08-Feb-17,12:53,Overcast,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie ,
19-Feb-17,11:21,Sunny,Grey squirrel,1,Alive,SU 7325 7195,Human Site ,Suburban,Near road (50m),Sophie ,
20-Feb-17,13:10,Overcast,Grey squirrel,1,Alive,SU 7351 7160,Human Site ,Suburban,"Garden, Near road (50m)",Team,
21-Feb-17,12:44,Overcast,Grey squirrel,1,Alive,SU 7325 7195,Human Site ,Suburban,Near road (50m),Sophie ,
21-Feb-17,15:08,Overcast,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie ,
21-Feb-17,15:14,Overcast,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie ,
21-Feb-17,20:25,Night,Domestic cat,1,Alive,SU 7394 7227,Human Site ,Suburban,"Residential, Near road (50m)",Sophie ,
23-Feb-17,14:56,Storm Doris,Rabbit,1,Alive,SU 7411 7200,Human Site ,Suburban,"Disused, Garden",Sophie and Steph,
23-Feb-17,15:28,Storm Doris,Grey squirrel,1,Alive,SU 7354 7172,Human Site ,Suburban,Near road (50m),Sophie and Steph,
24-Feb-17,12:29,Sunny,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Sophie,
28-Feb-17,11:13,Sunny,Grey squirrel,1,Alive,SU 7411 7205 ,Human Site ,Suburban,"Disused, Garden",Aimee,
