Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
02/02/2017,16:10,Cloudy ,Cat,1,Alive,SU 98632 49751,Human site,Suburban,"Residential, Gardens.",Zoe,
02/07/2017,10:30,Sunny,Grey squirrel,2,Alive,SU 98770 49982,Human site,Suburban,"Residential, recreational ground, gardens. ",Zoe,
02/08/2017,12:30,Partly cloudy,Cat,1,Alive,SU 98633 49751,Human site,Suburban,"Residential, Gardens.",Zoe,
02/08/2017,14:30,Partly cloudy,Grey squirrel,1,Alive,SU 98574 50022,Human site,Suburban,"Recreational ground, near road",Zoe,
02/09/2017,13:15,Partly cloudy,Cat,1,Alive,SU 98813 49923,Human site,Suburban,"Residential, Gardens.",Zoe,
13/02/2017,11:30,Sunny,Grey squirrel,2,Alive,SU 98175 50120,Open land,Meadow,"Hedgerows with trees, high disturbance, near road",Zoe,
13/02/2017,13:00,Sunny,Grey squirrel,3,Alive,SU 98854 50402,Waterbody,Lake,"Near railway, recreational ground, low banks",Zoe,
13/02/2017,13:30,Sunny,Grey squirrel,1,Alive,SU 98144 50359,Human site,Suburban,"Near road, near railway, residential",Zoe,
15/02/2017,13:00,Raining,Cat,1,Alive,SU 98761 49867,Human site,Suburban,"Near road, residential, gardens",Zoe,
16/02/2017,16:00,Cloudy ,Grey squirrel,1,Alive,SU 98227 50201,Human site,Suburban,"Residential, Highly disturbed",Zoe,
16/02/2017,16:10,Cloudy ,Grey squirrel,1,Alive,SU 98295 50175,Human site,Suburban,"Residential, Gardens, Recreational ground",Dixie,
16/02/2017,16:25,Cloudy ,Grey squirrel,1,Alive,SU 98402 50112,Human site,Suburban,"Residential, Gardens, Headgerow with trees",Zoe,
17/02/2017,07:15,Partly cloudy,Grey squirrel,1,Alive,SU 98181 50135,Human site,Suburban,"Recreational ground, near road",Dixie,
17/02/2017,07:30,Partly cloudy,Grey squirrel,1,Alive,SU 98190 50263,Human site,Suburban,"Near road, Highly disturbed",Yuma and Emily,
17/02/2017,07:50,Partly cloudy,Rabbit,1,Alive,SU 98795 50405,Human site,Suburban,Recreational ground,Yuma and Emily,
17/02/2017,10:00,Raining,Grey squirrel,1,Alive,SU 98794 50036,Human site,Suburban,"Residential, Gardens, Recreational ground",Zoe,
20/02/2017,16:45,Sunny,Grey squirrel,1,Alive,SU 98821 49984,Human site,Suburban,"Recreational ground, residential",Zoe,
21/02/2017,19:00,Cloudy ,Fox,1,Alive,SU 98615 49770,Human site,Suburban,"Residential, gardens, near road",Zoe,
22/02/2017,10:00,Cloudy ,Grey squirrel,1,Alive,SU 98755 49998,Human site,Suburban,"Recreational ground, residential",Zoe,
24/02/2017,10:00,Cloudy ,Grey squirrel,1,Alive,SU 98727 50043,Human site,Suburban,"Recreational ground, residential",Zoe,
24/02/2017,11:00,Cloudy ,Cat,1,Alive,SU 98760 49852,Human site,Suburban,"Residential, gardens, near road",Zoe,
28/02/2017,16:45,Cloudy (just rained),Grey squirrel,3,Alive,SU 98855 50394,Waterbody,Lake,"Near railway, recreational ground, low banks",Yuma  ,
28/02/2017,16:45,Cloudy (just rained),Rabbit,1,Alive,SU 98875 50368,Waterbody,Lake,"Near railway, recreational ground, low banks",Yuma,
