Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
07/03/2017,18:33,,Noctule,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:38,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:45,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:45,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:45,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:53,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:53,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:53,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:54,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:58,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,18:58,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:11,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:13,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:13,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:14,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:14,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:14,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:15,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:15,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
07/03/2017,19:15,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
