Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",fox,4,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",badger,16,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",grey squirrel,7,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",red squirrel,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",rabbit,16,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",wood mouse,9,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:15,31/03/2017,13:42,1,"57.1735883, -2.097923",Roe Deer,45,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:55,31/03/2017,13:02,2,"57.173894, -2.099075",fox,10,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:55,31/03/2017,13:02,2,"57.173894, -2.099075",wood mouse,7,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:55,31/03/2017,13:02,2,"57.173894, -2.099075",badger,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/03/2017,16:55,31/03/2017,13:02,2,"57.173894, -2.099075",Roe Deer,3,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
12/03/2017,11:19,31/03/2017,13:48,2,"57.175739, -2.098223",wood mouse,19,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
