Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/03/2017,,31/03/2017,,1,SK 6983 5205,Red fox,4,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/03/2017,,31/03/2017,,1,SK 6983 5205,Grey Squirrel,1,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/03/2017,,31/03/2017,,2,SK 6991 5189,Red fox,6,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/03/2017,,31/03/2017,,2,SK 6991 5189,Rabbit,9,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/03/2017,,31/03/2017,,2,SK 6991 5189,Badger,3,Open land,Farmland,"Crops, hedgerow with trees, low disturbance","AM, HL",,
01/03/2017,,31/03/2017,,4,SK 6983 5127,Badger,62,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/03/2017,,31/03/2017,,4,SK 6983 5127,Brown rat,3,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/03/2017,,31/03/2017,,4,SK 6983 5127,Grey Squirrel,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/03/2017,,31/03/2017,,4,SK 6983 5127,Roe deer,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, plantation","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Brown hare,2,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Red fox,34,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Cat,5,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Rabbit,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Grey Squirrel,23,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Badger,35,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Wood mouse,6,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,5,SK 7003 5138,Common shrew,2,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,6,SK 7034 5153,Brown hare,2,Waterbody,Pond,"Banks vegetated, low banks","AM, HL",,
01/03/2017,,31/03/2017,,6,SK 7034 5153,Roe deer,3,Waterbody,Pond,"Banks vegetated, low banks","AM, HL",,
01/03/2017,,31/03/2017,,7,SK 7013 5169,Brown hare,3,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,7,SK 7013 5169,Roe deer,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,8,SK 7031 5187,Rabbit,57,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,8,SK 7031 5187,Fox,4,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,8,SK 7031 5187,Grey Squirrel,7,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,8,SK 7031 5187,Stoat,1,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,8,SK 7031 5187,Badger,3,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,9,SK 7013 5196,Cat,9,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
01/03/2017,,31/03/2017,,9,SK 7013 5196,Red fox,5,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer, semi-natural","AM, HL",,
