Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
28/02/2017,12:00,07/03/2017,13:00,1,NJ 9367708809,Woodmouse (Apodemus sylvaticus),12,Human site,Urban area,Gardens,All,,
28/02/2017,12:00,07/03/2017,13:00,1,NJ 9367708809,Fox (Vulpes vulpes),2,Human site,Urban area,Gardens,All,,
28/02/2017,12:00,07/03/2017,13:00,1,NJ 9367708809,Cat (Felic catus),1,Human site,Urban area,Gardens,All,,
28/02/2017,12:00,07/03/2017,13:00,1,NJ 9367708809,Badger (Meles meles),1,Human site,Urban area,Gardens,All,,See picture 10
07/03/2017,13:00,13/03/2017,12:30,1,NJ 9367708809,Woodmouse (Apodemus sylvaticus),4,Human site,Urban area,Gardens,All,,
07/03/2017,13:00,13/03/2017,12:30,1,NJ 9367708809,Cat (Felic catus),2,Human site,Urban area,Gardens,All,,
13/03/2017,12:30,20/03/2017,12:30,1,NJ 9367708809,Woodmouse (Apodemus sylvaticus),2,Human site,Urban area,Gardens,All,,
20/03/2017,12:30,30/03/2017,16:00,1,NJ 9367708809,Cat (Felic catus),1,Human site,Urban area,Gardens,All,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,25,,,,,,
