Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
28/02/2017,15:30,06/03/2017,19:48,1,NS 37915 96404,Badger ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,07/03/2017,01:00,1,NS 37915 96405,Fox,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,07/03/2017,20:21,1,NS 37915 96406,Badger ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,07/03/2017,05:20,1,NS 37915 96407,Pine Marten,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,Going L-R
28/02/2017,15:30,07/03/2017,05:38,1,NS 37915 96408,Pine Marten,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,Also  going L-R
28/02/2017,15:30,10/03/2017,23:59,1,NS 37915 96409,Red Deer ,2,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,11/03/2017,18:48,1,NS 37915 96410,Red Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,12/03/2017,02:28,1,NS 37915 96411,Fox,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,03/03/2017,04:52,1,NS 37915 96412,Wood Mouse,2,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,03/03/2017,06:04,1,NS 37915 96413,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,03/03/2017,19:03,1,NS 37915 96414,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,03/03/2017,05:42,1,NS 37915 96415,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,03/03/2017,22:01,1,NS 37915 96416,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,03/03/2017,02:39,1,NS 37915 96417,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,04/03/2017,02:16,1,NS 37915 96418,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,04/03/2017,05:01,1,NS 37915 96419,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,02/03/2017,22:02,1,NS 37915 96420,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,02/03/2017,05:55,1,NS 37915 96420,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,04/03/2017,03:43,1,NS 37915 96421,Wood Mouse,2,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,04/03/2017,20:03,1,NS 37915 96422,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
28/02/2017,15:30,02/03/2017,04:07,1,NS 37915 96423,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
