Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
03/02/2017,15:59,09/03/2017,12:35,1,SO 78917 22911,Hedgehog,1,Human site,Rural,Disused/recreational,Becky,Katie,"Same hedgehog seen on several occasions over the week - had been marked for another study, so recognisable. Footage provided."
03/02/2017,15:59,09/03/2017,12:35,1,SO 78917 22911,Fox,4,Human site,Rural,Disused/recreational,Becky,,
03/02/2017,15:59,09/03/2017,12:35,1,SO 78917 22911,Domestic cat,3,Human site,Rural,Disused/recreational,Becky,,
03/09/2017,13.05,13/03/2017,10:05,1,SO 78870 22913,Domestic cat,1,Human site,Rural,Disused/recreational,Becky,,
03/09/2017,13.12,16/03/2017,14:07,1,SO 78769 22899,Hedgehog,1,Human site,Rural,Gardens,Becky,,
03/09/2017,13:12,16/03/2017,14:07,1,SO 78769 22899,Rabbit,1,Human site,Rural,Gardens,Becky,,
03/09/2017,13:12:00,16/03/2017,14:07,1,SO 78769 22899,Grey squirrel,2,Human site,Rural,Gardens,Becky,,
14/03/2017,09:18,24/03/2017,08:00,2,SO 78507 22906,Rabbit,15,Human site,Rural,"Disused gardens, hedgerow with trees, near road ",Katie,,"1 Juvenille, photo provided "
14/03/2017,09:18,24/03/2017,08:00,2,SO 78507 22906,Badger ,7,Human site,Rural,"Hedgerow with trees, near road ",Katie ,,Possibly the same badger
14/03/2017,09:18,24/03/2017,08:00,2,SO 78507 22906,Mouse ,9,Human site,Rural,"Hedgerow with trees, near road ",Katie ,,"Species unknown, Possibly long tail field mouse "
14/03/2017,09:18,24/03/2017,08:00,2,SO 78507 22906,Grey Squirell,5,Human site,Rural,"Hedgerow with trees, near road ",Katie ,,
14/03/2017,09:18,24/03/2017,08:00,2,SO 78507 22906,Fox,6,Human site,Rural,"Hedgerow with trees, near road ",Katie ,,Possibly the same fox 
14/03/2017,09:18,24/03/2017,08:00,2,SO 78507 22906,Domestic cat,1,Human site,Rural,"Hedgerow with trees, near road ",Katie ,,
16/03/2017,14:23,23/03/2017,12:46,1,SO 78769 22864,Fox,1,Human site,Rural,Gardens,Becky,,
16/03/2017,14:23,23/03/2017,12:46,1,SO 78769 22864,Squirrel,1,Human site,Rural,Gardens,Becky,,
16/03/2017,14:23,23/03/2017,12:46,1,SO 78769 22865,Hedgehog,1,Human site,Rural,Gardens,Becky,,
