Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
28/02/2017,17:31,27/03/2017,18:11,1,SK69770 52626,Stoat,1,Open land,Farmland,"Active farmland, crops, Hedgero without trees, Low disturbance, Near road (50m)",Group Members,Group Members,
28/02/2017,17:50,27/03/2017,18:46,2,SK69824 53016,Rabbit,42,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
28/02/2017,17:50,27/03/2017,18:46,2,SK69824 53016,Mouse Sp,52,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
28/02/2017,17:50,27/03/2017,18:46,2,SK69824 53016,Red Fox,2,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
28/02/2017,17:50,27/03/2017,18:46,2,SK69824 53016,Stout,1,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
28/02/2017,18:34,27/03/2017,18:22,3,SK69786 52951,Rabbit,57,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
28/02/2017,18:34,27/03/2017,18:22,3,SK69786 52951,Mouse Sp,59,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
28/02/2017,18:34,27/03/2017,18:22,3,SK69786 52951,Grey Squirrel,1,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
28/02/2017,18:34,27/03/2017,18:22,3,SK69786 52951,Red fox,3,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
28/02/2017,18:34,27/03/2017,18:22,3,SK69786 52951,Cat,1,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
02/02/2017,13:04,27/03/2017,17:12,6,SK69230 52910,Red Fox,1,Woodland,Broadleaved,"Spare/no shrub layer, Sparse field layer, High disturbance from people ",Group Members,Group Members,
02/02/2017,13:04,27/03/2017,17:12,6,SK69230 52910,Rabbit,3,Woodland,Broadleaved,"Spare/no shrub layer, Sparse field layer, High disturbance from people ",Group Members,Group Members,
02/02/2017,13:04,27/03/2017,17:12,6,SK69230 52910,Badger,1,Woodland,Broadleaved,"Spare/no shrub layer, Sparse field layer, High disturbance from people ",Group Members,Group Members,
28/02/2017,17:59,27/03/2017,16:34,7,SK69591 53078,Rabbit,16,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
28/02/2017,17:59,27/03/2017,16:34,7,SK69591 53078,Rat,156,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
28/02/2017,17:59,27/03/2017,16:34,7,SK69591 53078,Mouse Sp,12,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
28/02/2017,17:59,27/03/2017,16:34,7,SK69591 53078,Red Fox,1,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
28/02/2017,17:59,27/03/2017,16:34,7,SK69591 53078,Badger,281,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/02/2017,15:29,27/03/2017,18:49,8,SK69381 52324,Rabbit,3,Woodland,Broadleaved,"Sparse/no shrub layer, sparse field layer, near road (50m), low disturbance from people",Group Members,Group Members,
27/02/2017,15:29,27/03/2017,18:49,8,SK69381 52324,Red Fox,1,Woodland,Broadleaved,"Sparse/no shrub layer, sparse field layer, near road (50m), low disturbance from people",Group Members,Group Members,
27/02/2017,15:29,27/03/2017,18:49,8,SK69381 52324,Mouse Sp,18,Woodland,Broadleaved,"Sparse/no shrub layer, sparse field layer, near road (50m), low disturbance from people",Group Members,Group Members,
27/02/2017,15:29,27/03/2017,18:49,8,SK69381 52324,Grey squirrel,3,Woodland,Broadleaved,"Sparse/no shrub layer, sparse field layer, near road (50m), low disturbance from people",Group Members,Group Members,
27/02/2017,15:14,27/03/2017,18:45,9,SK69476 52186,Rabbit,1,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
27/02/2017,15:14,27/03/2017,18:45,9,SK69476 52186,Mouse Sp,5,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
27/02/2017,15:14,27/03/2017,18:45,9,SK69476 52186,Rat,1,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
27/02/2017,15:14,27/03/2017,18:45,9,SK69476 52186,Cat,3,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
27/02/2017,16:31,27/03/2017,19:00,10,SK69622 52267,Rabbit,10,Waterbodies,Pond,"Banks vegetated, High/medium banks, Disturbed",Group Members,Group Members,
27/02/2017,16:31,27/03/2017,19:00,10,SK69622 52267,Cat,8,Waterbodies,Pond,"Banks vegetated, High/medium banks, Disturbed",Group Members,Group Members,
