Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/03/2017,09:30,24/02/2017,15:31,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,24/02/2017,17:34,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,24/02/2017,17:46,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,24/02/2017,19:24,2,SU 42176 15239,Fox,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,25/02/2017,09:48,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,26/02/2017,13:15,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,27/02/2017,08:09,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,27/02/2017,08:14,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,27/02/2017,10:13,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:30,27/02/2017,13:30,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
01/03/2017,09:10,01/03/2017,08:56,2,SU 42176 15239,Squirrel,2,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,10:23,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,12:15,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,12:31,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,13:36,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,13:58,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,14:04,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,15:17,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,01/03/2017,16:08,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,03/03/2017,14:56,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,03/03/2017,16:04,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,03/03/2017,16:10,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,03/03/2017,16:13,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,04/03/2017,08:37,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,05/03/2017,10:13,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,06/03/2017,03:36,2,SU 42176 15239,Fox,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,06/03/2017,07:56,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,06/03/2017,09:19,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,06/03/2017,09:31,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,07/03/2017,08:45,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,07/03/2017,10:35,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,07/03/2017,10:37,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
10/03/2017,10:16,07/03/2017,11:11,2,SU 42176 15239,Squirrel,1,Woodland,Mixed,Sparse shrub layer,,,
