Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
24/02/2017,10:36,01/03/2017,13:05,1,"51.91832615, -2.30573896",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36,01/03/2017,13:05,1,"51.91832615, -2.30573896",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36,01/03/2017,13:05,1,"51.91832615, -2.30573896",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36,01/03/2017,13:05,1,"51.91832615, -2.30573896",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Squirrel,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Muntjac Deer,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Squirrel,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Fox,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Roe Deer,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Female
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Rabbit,2,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Badger,2,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Fox,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
06/03/2017,10:47,14/03/2017,12:15,2,"51.918225, -2.305151",Roe Deer,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Male
14/03/2017,12:54,30/03/2017,12:24,3,"51.919223, -2.307615",Muntjac Deer,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
