Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
10/03/2017,Opportunistic,O4,1,SS 63196 92107,Woodland,Mixed,"Moderate shrub layer, Dense field layer"
15/03/2017,Opportunistic,O5,2,SS 62884 91635,Waterbodies,Pond,"Near road (50m), Low banks, Flat"
22/03/2017,Opportunistic,O1,3,SS 63208 92114,Woodland,Mixed,"Moderate shrub layer, Moderate field layer"
22/03/2017,Opportunistic,O2,4,SS 63248 92166,Woodland,Mixed,"Moderate shrub layer, Dense field layer"
22/03/2017,Opportunistic,O3,5,SS 63243 92143,Woodland,Mixed,"Moderate shrub layer, Dense field layer"
31/03/2017,Opportunistic,O6,6,SS 63149 92211,Woodland,Mixed,"Moderate shrub layer, Moderate field layer"
31/03/2017,Opportunistic,O7,7,SS 63133 92177,Woodland ,Mixed,"Moderate shrub layer, Dense field layer"
02/03/2017,Transect,T1,1,SS 62729 91760,Woodland,Mixed,"Moderate shrub layer, Moderate field layer"
02/03/2017,Transect,T1,1,SS 62714 91745,Woodland,Mixed,"Moderate shrub layer, Moderate field layer"
02/03/2017,Transect,T2,2,SS 62937 91704,Waterbodies,Pond,"Low banks, flat, banks vegetated "
02/03/2017,Transect,T2,2,SS 62965 91693,Waterbodies,Pond,"Low banks, flat, banks vegetated "
02/03/2017,Transect,T3,3,SS 63014 91820,Human site,Suburban,"Municipal park/recreational area, near road (50m), gardens "
02/03/2017,Transect,T3,3,SS 62998 91838,Human site,Suburban,"Municipal park/recreational area, near road (50m), gardens "
02/03/2017,Transect,T4,4,SS 62885 92142,Open land,Unimproved grassland,"Medium disturbance from people, other field boundary, "
02/03/2017,Transect,T4,4,SS 62905 92155,Open land,Unimproved grassland,"Medium disturbance from people, other field boundary, "
02/03/2017,Transect,T5,5,SS 63026 92174,Woodland,Mixed,"Moderate shrub layer, Moderate field layer"
02/03/2017,Transect,T5,5,SS 63049 92183,Woodland,Mixed,"Moderate shrub layer, Moderate field layer"
