Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
16/03/2017,17:35,Cloudy,3,Rabbit,1,50,Ellie,
16/03/2017,17:45,Cloudy,2,Bat (unknown),1,30,Ellie,
16/03/2017,17:50,Cloudy,1,Rabbit,3,40,Ellen,
16/03/2017,17:50,Cloudy,1,Rabbit,3,60,Ellie,
16/03/2017,17:50,Cloudy,1,Rabbit,15,35,Ellen,
16/03/2017,17:50,Cloudy,1,Rabbit,10,10,Ellie,
16/03/2017,17:55,Cloudy,1,Rabbit,4,20,Ellen,
29/03/2017,16:10,Overcast,1,Rabbit,6,25,Shawnee,
29/03/2017,16:10,Overcast,1,Rabbit,4,15,Max,
19/03/2017,16:15,Overcast,1,Rabbit,3,30,Shawnee,
29/03/2017,16:30,Overcast,3,Grey squirrel,3,15,Max,
