Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
02-Mar,07:30,Overcast,1,SU 7377 7132,Woodmouse,Human Site,Suburban,Gardens,Team,Phil Baker,
02-Mar,07:30,Overcast,2,SU 7377 7132,Woodmouse,Human Site,Suburban,Gardens,Team,Phil Baker,
02-Mar,07:30,Overcast,3,SU 7377 7132,Woodmouse,Human Site,Suburban,Gardens,Team,Phil Baker,
02-Mar,07:30,Overcast,4,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,1,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,2,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,3,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,4,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,5,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,6,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,7,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,8,SU 7358 7135,Woodmouse,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
09-Mar,07:30,Sunny,9,SU 7358 7135,Bank vole,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,Phil Baker,
