Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
02/03/2017,14:14,,Rabbit,2,Alive,TR 13882 59354,Human site,Suburban,"residential, near road",DT,
03/03/2017,07:09,,Grey squirrel,2,Alive,TR 13878 59945,Human site,Suburban,"residential, near road",DT,
06/03/2017,11:57,,Grey squirrel,1,Alive,TR 13601 59679,Human site,Suburban,"residential, near road",DT,
06/03/2017,12:54,,Grey squirrel,1,Alive,TR 13928 59631,Human site,Suburban,near road,DT,
09/03/2017,14:03,,Field vole,1,Alive,TR 12984 59673,Human site,Suburban,moderate field layer,DT,
09/03/2017,22:24,,Fox,1,Alive,TR 14031 60129,Human site,Suburban,near road (50m),DT,
11/03/2017,16:20,,Rabbit,1,Alive,TR 13528 59757,Human site,Suburban,near road ,DT,
11/03/2017,16:23,,Grey squirrel,1,Alive,TR 13528 59757,Human site,Suburban,near road ,DT,
11/03/2017,16:27,,Grey squirrel,2,Alive,TR 13709 59854,Human site,Suburban,"near road, rec area",DT,
11/03/2017,16:28,,Grey squirrel,1,Alive,TR 13750 59967,Human site,Suburban,"residential, near road",DT,
12/03/2017,17:49,,Rabbit,1,Alive,TR 13709 59854,Human site,Suburban,"near road, rec area",DT,
12/03/2017,17:55,,Rabbit,4,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,
14/03/2017,09:15,,Grey squirrel,1,Alive,TR 13528 59757,Human site,Suburban,near road ,DT,
16/03/2017,19:20,,Rabbit,3,Alive,TR 13918 59786,Human site,Suburban, near road,DT,
17/03/2017,07:16,"slight breeze, thin clouds with promise of sun",Rabbit,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
17/03/2017,15:22,,Grey squirrel,1,Alive,TR 13965 59967,Human site,Suburban,"residential, near road",DT,
17/03/2017,15:26,,Grey squirrel,1,Alive,TR 13750 59967,Human site,Suburban,"residential, near road",DT,
17/03/2017,15:31,,Grey squirrel,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
17/03/2017,15:36,,Rabbit,1,Alive,TR 12984 59673,Human site,Suburban,moderate field layer,DT,
17/03/2017,16:30,,Rabbit,1,Alive,TR 13320 59788,Human site,Suburban,"residential, near road",DT,
18/03/2017,17:18,,Rabbit,5,Alive,TR 13822 59518,Human site,Suburban,near road,DT,one was allopreening another
22/03/2017,19:21,,Rabbit,1,Alive,TR 13383 59946,Human site,Suburban,"residential, near road",DT,
22/03/2017,19:23,,Rabbit,4,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,One larger than others - mum and babies?
22/03/2017,19:28,,Rabbit,3,Alive,TR 13879 59822,Human site,Suburban,"residential, near road",DT,
23/03/2017,12:50,,Rabbit,4,Alive,TR 13822 59518,Human site,Suburban,near road,DT,
24/03/2017,07:19,,Rabbit,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
24/03/2017,07:19,,Grey squirrel,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
24/03/2017,07:21,,Rabbit,1,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,
28/03/2017,09:30,"calm, sunny, warm",Grey squirrel,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
28/03/2017,10:30,"calm, sunny, warm",Grey squirrel,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
28/03/2017,10:30,"calm, sunny, warm",Grey squirrel,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
28/03/2017,10:32,"calm, sunny, warm",Grey squirrel,1,Alive,TR 13381 59775,Human site,Suburban,"residential, near road",DT,
28/03/2017,10:34,"calm, sunny, warm",Wood mouse ,1,Alive,TR 13528 59757,Human site,Suburban,near road ,DT,"Heard squeaking from other side of path, crept over to investigate, saw rustling in leaf litter, saw a mouse belly (white with yellowish edges) which then disappeared. Probably wood mouse based on size (~3inches seen) - no yellow band across neck seen, though both species are known to be in the area. "
