Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
02-Mar,19:50,Clear,Cat,1,Alive,TG 19198 08493,Human,Suburban,Near Road,Ellen,
07-Mar,13:45,Clear,Rabbit,2,Alive,TG 19549 07510,Human,Urban,Municipal park/recreational area,Max,
08-Mar,22:50,Clear,Rabbit,3,Alive,TG 19804 07574,Human,Suburban,Municipal park/recreational area,Ellen,
09-Mar,11:10,Sunny,Cat,1,Alive,TG 19176 08467,Human,Suburban,Garden,Ellen,
09-Mar,19:00,Clear,Rabbit,7,Alive,TG 18439 07392,Human,Suburban,Municipal park/recreational area,Steven,
10-Mar,14:15,Cloudy,Rabbit,1,Alive,TG 19041 07508,Human,Suburban,Municipal park/recreational area,Max,
11-Mar,13:40,Cloudy,Rabbit,4,Alive ,TG 19706 07467,Open land,Unimproved,High/medium disturbance from people,Shawnee,
13-Mar,10:30,"Clear, sunny",Rabbit,3,Alive,TG 19774 07542,Open land,Unimproved,High/medium disturbance from people,Shawnee,
13-Mar,11:50,Clear,Grey Squirrel,2,Alive,TG 19336 08211,Human,Suburban,Municipal park/recreational area,Ellen,
14-Mar,13:50,Clear,Grey Squirrel,2,Alive,TG 19593 07697,Human,Urban,Near road,Max,
14-Mar,16:00,Sunny,Grey Squirrel,1,Alive,TG 19342 08209,Human,Suburban,Municipal park/recreational area,Steven,
14-Mar,21:30,Clear,Rabbit,3,Alive,TG 19344 08184,Human,Suburban,Municipal park/recreational area,Steven,
15-Mar,11:30,Sunny,Cat,1,Alive,TG 19176 08467,Human,Suburban,Garden,Ellen,
15-Mar,15:15,Sunny,Rabbit,2,Alive,TG 19428 07647,Human,Suburban,Municipal park/recreational area,Max,
15-Mar,15:20,Sunny,Grey Squirrel,1,Alive,TG 19541 07694,Human,Urban,Municipal park/recreational area,Max,
15-Mar,17:15,Sunny,Cat,1,Alive,TG 19730 08517,Human,Suburban,Near Road,Ellen,
16-Mar,12:35,Cloudy,Grey Squirrel,2,Alive,TG 19412 07519,Human,Suburban,Municipal park/recreational area,Max,
16-Mar,18:10,Cloudy,Rabbit,2,Alive,TG 19643 07709,Human,Suburban,Near Road,Ellen & Ellie,
16-Mar,18:20,Cloudy,Rabbit,4,Alive,TG 19354 08238,Human,Suburban,Near Road,Ellen & Ellie,
17-Mar,16:50,Cloudy,Cat,1,Alive,TG 19097 08560,Human,Suburban,Near Road,Ellen,
17-Mar,17:00,Cloudy,Cat,1,Alive,TG 19192 08589,Human,Suburban,Near Road,Ellen,
17-Mar,11:55,Overcast,Grey Squirrel,2,Alive,TG 19591 07703,Human,Suburban,Near Road,Shawnee,
19-Mar,20:00,Cloudy,Cat,1,Alive,TG 19133 08539,Human,Suburban,Near Road,Ellen,
19-Mar,21:30,Cloudy,Cat,1,Alive,TG 19104 08582,Human,Suburban,Near Road,Ellen,
21-Mar,13:30,Cloudy,Rabbit,4,Alive,TG 19549 07510,Human,Urban,Municipal park/recreational area,Max,
21-Mar,15:10,Cloudy,Grey Squirrel,1,Alive,TG 19551 07726,Human,Urban,Near road,Max,
21-Mar,23:00,Clear,Rabbit,6,Alive,TG 19144 07365,Human,Suburban,Municipal park/recreational area,Steven,
21-Mar,23:00,Clear,Rabbit,5,Alive,TG 19203 07344,Human,Suburban,Municipal park/recreational area,Steven,
22-Mar,14:05,Clear,Grey Squirrel,1,Alive,TG 19652 07639,Human,Urban ,Near road,Max,
23-Mar,18:30,Clear,Rabbit,4,Alive,TG 18417 07405,Human,Suburban,Municipal park/recreational area,Steven,
23-Mar,09:00,Sunny,Grey Squirrel,1,Alive,TG 19339 08195,Human,Suburban,Municipal park/recreational area,Ellen,
24-Mar,13:10,Sunny,Cat,1,Alive,TG 19072 08581,Human,Suburban,Garden,Ellen,
28-Mar,12:40,Overcast,Rabbit,2,Alive,TG 19562 07518,Human,Urban,Municipal park/recreational area,Max,
28-Mar,15:20,Overcast,Rabbit,3,Alive,TG 19419 07477,Human,Urban,Municipal park/recreational area,Max,
31-Mar,17:15,"Clear, sunny",Rabbit,3,Alive,TG 19804 07733,Human,Urban,Near road,Shawnee,
