Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
01-Mar-17,12:20,Sunny,Grey squirrel,1,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Sophie,
01-Mar-17,12:45,Sunny,Grey squirrel,3,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Sophie,
01-Mar-17,16:12,Sunny,Grey squirrel,1,Alive,SU 7375 7190,Woodland,Mixed,Moderate shrub layer,Sophie,
02-Mar-17,15:47,Sunny,Grey squirrel,2,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Steph,
03-Mar-17,14:17,Sunny,Grey squirrel,1,Alive,SU 7372 7232,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Steph,
03-Mar-17,15:20,Sunny,Red fox,1,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Team,
05-Mar-17,15:16,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Steph,
05-Mar-17,16:21,Overcast,Grey squirrel,1,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Steph,
07-Mar-17,14:07,Sunny,Grey squirrel,1,Alive,SU 7375 7190,Woodland,Mixed,Moderate shrub layer,Steph,
09-Mar-17,14:02,Sunny,Grey squirrel,6,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Steph,
15-Mar-17,18:45,Dusk,Bat,2,Alive,SU 7404 7213,Human Site,Suburban,Near road (50m),Sophie,Visual sighting therefore species unknown
15-Mar-17,18:45,Dusk,Cat,1,Alive,SU 7404 7213,Human Site,Suburban,Near road (50m),Sophie,
16-Mar-17,07:25,Sunny,Grey squirrel,1,Alive,SU 7414 7154,Woodland,Mixed,Moderate shrub layer,Team,
16-Mar-17,08:32,Sunny,Grey squirrel,1,Alive,SU 7358 7135,Woodland,Mixed,"Moderate shrub layer, Near road (50m)",Team,
17-Mar-17,16:55,Overcast,Grey squirrel ,3,Alive,SU 7411 7205,Human Site,Suburban,"Disused, Gardens",Aimee,
24-Mar-17,18:37,Dusk,Bat,1,Alive,SU 7325 7195,Human Site,Suburban,Near road (50m),Sophie,Visual sighting therefore species unknown
24-Mar-17,19:00,Dusk,Bat,1,Alive,SU 7378 7189,Human Site,Suburban,Gardens,Sophie,Visual sighting therefore species unknown
25-Mar-17,09:06,Sunny,Cat,1,Alive,SU 7404 7213,Human Site,Suburban,Near road (50m),Sophie,
