Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
01/04/2017,19:07,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:10,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:10,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:11,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:12,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:12,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:17,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:18,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:18,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:18,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:19,,C.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:19,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:19,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:19,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:20,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:20,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
01/04/2017,19:21,,S.Pip,1,Alive,SK 7044 5150,Waterbodies,Pond,"Banks vegetated, high/medium banks",HL,Passive Anabat detector,
