Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",fox,12,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",badger,20,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",grey squirrel,4,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",red squirrel,2,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",rabbit,14,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",wood mouse,5,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:25,28/04/2017,15:11,1,"57.1735883, -2.097923",Roe Deer,32,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:54,28/04/2017,15:31,2,"57.173894, -2.099075",fox,28,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:54,28/04/2017,15:31,2,"57.173894, -2.099075",Roe Deer,3,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:16,11/04/2017,11:31,SM,"57.175739, -2.098223",wood mouse,12,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:16,11/04/2017,11:31,SM,"57.175739, -2.098223",badger,2,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
01/04/2017,11:16,11/04/2017,11:31,SM,"57.175739, -2.098223",grey squirrel,2,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
