Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
05/04/2017,09:00,12/04/2017,23:05,1,NS 37915 96404,Fox,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,14/04/2017,20:14,1,NS 37915 96405,Fox,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,23/04/2017,03:48,1,NS 37915 96406,Fox,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,07/04/2017,02:38,1,NS 37915 96407,Fox,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,04/04/2017,02:07,1,NS 37915 96408,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,06/04/2017,23:35,1,NS 37915 96409,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,15/04/2017,01:00,1,NS 37915 96410,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,16/04/2017,22:38,1,NS 37915 96411,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,27/04/2017,21:14,1,NS 37915 96412,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,29/04/2017,01:01,1,NS 37915 96413,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,29/04/2017,23:09,1,NS 37915 96414,Wood Mouse,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,27/04/2017,21:18,1,NS 37915 96415,Pine Marten,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,09/04/2017,09:53,1,NS 37915 96416,Red Squirrel ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,04/04/2017,02:01,1,NS 37915 96417,Badger,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,04/04/2017,23:41,1,NS 37915 96418,Badger,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,06/04/2017,01:54,1,NS 37915 96419,Badger,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,11/04/2017,00:32,1,NS 37915 96420,Badger,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,27/04/2017,01:46,1,NS 37915 96420,Badger,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,29/04/2017,22:20,1,NS 37915 96421,Badger,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,07/04/2017,03:00,1,NS 37915 96422,Red Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,09/04/2017,06:42,1,NS 37915 96423,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,10/04/2017,00:22,1,NS 37915 96424,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,07/04/2017,02:58,1,NS 37915 96425,Red Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,10/04/2017,06:41,1,NS 37915 96426,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,12/04/2017,06:09,1,NS 37915 96427,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,14/04/2017,10:57,1,NS 37915 96428,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,17/04/2017,06:27,1,NS 37915 96429,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,17/04/2017,07:12,1,NS 37915 96430,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,22/04/2017,05:34,1,NS 37915 96431,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,26/04/2017,04:15,1,NS 37915 96432,Red Deer ,3,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,26/04/2017,06:21,1,NS 37915 96433,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,26/04/2017,09:00,1,NS 37915 96434,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,28/04/2017,21:59,1,NS 37915 96435,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,29/04/2017,06:47,1,NS 37915 96436,Red Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,Stag with mangled foot
05/04/2017,09:00,30/04/2017,05:59,1,NS 37915 96437,Roe Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
05/04/2017,09:00,30/04/2017,20:16,1,NS 37915 96438,Red Deer ,1,Woodland ,Coniferous ,Plantation ,RT,Uni Staff ,
