Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
27/03/2017,18:11,13/04/2017,11:15,1,SK69770 52626,Rabbit,3,Open land,Farmland,"Active farmland, crops, Hedgero without trees, Low disturbance, Near road (50m)",Group Members,Group Members,
27/03/2017,18:11,13/04/2017,11:15,1,SK69770 52626,Cat,2,Open land,Farmland,"Active farmland, crops, Hedgero without trees, Low disturbance, Near road (50m)",Group Members,Group Members,
27/03/2017,18:46,13/04/2017,11:35,2,SK69824 53016,Rabbit,26,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
27/03/2017,18:46,13/04/2017,11:35,2,SK69824 53016,Mouse Sp,51,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
27/03/2017,18:46,13/04/2017,11:35,2,SK69824 53016,Red Fox,4,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
27/03/2017,18:46,13/04/2017,11:35,2,SK69824 53016,Grey Squirrel,1,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Group Members,
27/03/2017,18:46,13/04/2017,11:35,2,SK69824 53016,Ferret,1,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)",Group Members,Lecturer ,Picture included in email
27/03/2017,18:22,13/04/2017,11:45,3,SK69786 52951,Rabbit,34,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
27/03/2017,18:22,13/04/2017,11:45,3,SK69786 52951,Mouse Sp,68,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
27/03/2017,18:22,13/04/2017,11:45,3,SK69786 52951,Rat,3,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
27/03/2017,18:22,13/04/2017,11:45,3,SK69786 52951,Red fox,2,Open land,Meadow,"Pasture, High/medium disturbance from people",Group Members,Group Members,
27/03/2017,17:12,13/04/2017,14:30,6,SK69230 52910,Badger,1,Woodland,Broadleaved,"Spare/no shrub layer, Sparse field layer, High disturbance from people ",Group Members,Group Members,
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Rabbit,3,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Rat,62,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Mous Sp,12,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Red Fox,5,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Muntjac Deer,2,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,Picture included in email
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Badger,144,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/03/2017,16:34,13/04/2017,14:14,7,SK69591 53078,Grey Squirrel,1,Woodland,Broadleaved,"Moderate shrub layer, Moderate field layer, Near road (50m)",Group Members,Group Members,
27/03/2017,18:45,13/04/2017,18:45,9,SK69476 52186,Rabbit,3,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
27/03/2017,18:45,13/04/2017,18:45,9,SK69476 52186,Red Fox,1,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
27/03/2017,18:45,13/04/2017,18:45,9,SK69476 52186,Cat,4,Human site,Rural,"Gardens, Near road (50m)",Group Members,Group Members,
