Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
31/04/2017,13:30,04/04/2017,10:04,4,SU 47622 30558,Grey Squirrel,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,06/04/2017,09:48,4,SU 47622 30558,Grey Squirrel,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,07/04/2017,00:40,4,SU 47622 30558,Fox,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,07/04/2017,03:40,5,SU 47603 30547,Fox,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,07/04/2017,10:05,5,SU 47603 30547,Grey Squirrel,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,08/04/2017,09:35,4,SU 47622 30558,Grey Squirrel,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,19/04/2017,08:17,4,SU 47622 30558,Grey Squirrel,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,22/04/2017,04:25,4,SU 47622 30558,Fox,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,23/04/2017,17:29,4,SU 47622 30558,Grey Squirrel,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,24/04/2017,00:54,4,SU 47622 30558,Fox,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,25/04/2017,06:46,4,SU 47622 30558,Fox,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
31/04/2017,13:30,29/04/2017,13:44,4,SU 47622 30558,Wood Mouse,1,Human site,Suburban,"Disused, residential, near road (50m)",Seren & Rachel,(Barrie Roberts Biology Teacher),
