Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
07/04/2017,Standard walk,SW,1,SS 63154 92329,Woodland,Broadleaved,"Moderate Shrub layer, dense field layer"
07/04/2017,Standard walk,SW,1,SS 63128 92257,Woodland,Broadleaved,"Moderate Shrub layer, moderate field layer"
07/04/2017,Standard walk,SW,1,SS 63050 92193,Woodland,Broadleaved,"Moderate Shrub layer, moderate field layer"
15/04/2017,Opportunistic,O1,1,SS 63062 92305,Woodland,Broadleaved,"Sparse shrub layer, moderate field layer"
13/04/2017,Opportunistic,O2,1,SS 62998 92139,Woodland,Broadleaved,"moderate shrub layer, moderate field layer"
02/04/2017,Opportunistic,O3,1,SS 63108 92205,Woodland,Broadleaved,"moderate shrub layer, moderate field layer"
27/04/2017,Opportunistic,O4,1,SS 62820 91607,Woodland,Broadleaved,"Near Road, Park land, Semi natural"
30/04/2017,Opportunistic,O5,1,SS 63022 91750,Woodland,Broadleaved,"Near Road, Park land"
29/04/2017,Standard walk,SW,2,SS 63225 92179,Woodland,Broadleaved,"Moderate Shrub layer, moderate field layer"
29/04/2017,Standard walk,SW,2,SS 63250 92169,Woodland,Broadleaved,"Moderate Shrub layer, moderate field layer"
