Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
07/04/2017,23:39,,Rabbit,3,Alive,TR 13974 59836,Human site,Suburban,Near road,DT,1 kit
09/04/2017,11:25,,Grey squirrel,4,Alive,TR 13928 59631,Woodland,Broadleaved,near road,DT,
09/04/2017,,,Vole,2,Alive,TR 12984 59673,Human site,Suburban,moderate field layer,DT,under separate felt tins
09/04/2017,,,Rabbit,5,Alive,TR 13879 59822,Human site,Suburban, near road,DT,
09/04/2017,,,Grey squirrel,1,Alive,TR 13928 59631,Woodland,Broadleaved,near road,DT,
09/04/2017,,,Grey squirrel,5,Alive,TR 13994 59596,Woodland,Broadleaved,Near road,DT,
09/04/2017,,,Grey squirrel - drey,3,Alive,TR 13994 59596,Woodland,Broadleaved,Near road,DT,
10/04/2017,08:36,,Rabbit,4,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,including 1 kitten
12/04/2017,20:42,,Fox,,Alive,TR 14031 60129,Human site,Suburban,near road (50m),DT,heard calling
13/04/2017,19:19,,Rabbit,1,Alive,TR 13268 59785,Human site,Suburban,"residential, near road",DT,
13/04/2017,19:21,,Rabbit,4,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,including 3 kits 
14/04/2017,All between 7am and 7:30,,Rabbit,4,Alive,,Human site,Suburban,"residential, near road",DT,1 kit
14/04/2017,,,Grey squirrel,6,Alive,,Human site,Suburban,"residential, near road",DT,
14/04/2017,,,Rabbit,4,Alive,,Human site,Suburban,"residential, near road",DT,2 kits
14/04/2017,,,Rabbit,1,Alive,,Human site,Suburban,"residential, near road",DT,
14/04/2017,,,Rabbit,1,Alive,,Human site,Suburban,"residential, near road",DT,
14/04/2017,11:14,,Grey squirrel,1,Alive,TR 13573 59784,Woodland,Broadleaved,Near road,DT,
14/04/2017,19:45,,Rabbit,12,Alive,TR 13744 59509,Human site,Suburban,"residential, near road",DT,around a warren
14/04/2017,19:49,,Rabbit,3,Alive,TR 13601 59679,Human site,Suburban,near road,DT,
14/04/2017,19:50,,Rabbit,1,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,"kit, very unafraid"
14/04/2017,19:53,,Rabbit,2,Alive,TR 13320 59788,Human site,Suburban,"residential, near road",DT,kits
14/04/2017,19:55,,Rabbit,4,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,
14/04/2017,20:15,,Rabbit,2,Alive,TR 13320 59788,Human site,Suburban,"residential, near road",DT,
14/04/2017,20:16,,Rabbit,2,Alive,TR 13268 59785,Human site,Suburban,"residential, near road",DT,
14/04/2017,20:17,,Rabbit,9,Alive,TR 13573 59784,Woodland,Broadleaved,Near road,DT,Scattered along a short portion of the path
16/04/2017,17:49,,Fox,1,Alive,TR 14031 60129,Human site,Suburban,near road (50m),DT,
17/04/2017,12:37,,Rabbit,3,Alive,TR 13601 59679,Human site,Suburban,near road,DT,all kits 
17/04/2017,12:41,,Grey squirrel,1,Alive,TR 13320 59788,Human site,Suburban,"residential, near road",DT,
17/04/2017,12:42,,Rabbit,1,Dead,TR 13268 59785,Human site,Suburban,"residential, near road",DT,"Found dead by small tree - stretched out, eyes and rear leg eaten. No obvious head/neck injury or attack marks"
17/04/2017,12:43,,Grey squirrel,1,Alive,TR 13061 59760,Human site,Suburban,"residential, near road",DT,
17/04/2017,13:20,,Field vole,1,Alive,TR 12984 59673,Human site,Suburban,moderate field layer,DT,Under reptile felt
17/04/2017,13:21,,Field vole,1,Dead,TR 12984 59673,Human site,Suburban,moderate field layer,DT,Found dead in nest under (a different) reptile felt - no sign of injury
17/04/2017,13:54,,Grey squirrel,2,Alive,TR 13525 59760,Woodland,Broadleaved,Near road,DT,
17/04/2017,13:55,,Grey squirrel,2,Alive,TR 13573 59784,Woodland,Broadleaved,Near road,DT,
18/04/2017,07:02,,Rabbit,1,Alive,TR 13974 59836,Human site,Suburban,Near road,DT,
18/04/2017,07:15,,Rabbit,1,Alive,TR 14059 59609,Human site,Suburban,rec area,DT,
18/04/2017,22:41,,Rabbit,1,Alive,TR 14059 59609,Human site,Suburban,rec area,DT,
18/04/2017,22:43,,Rabbit,4,Alive,TR 14007 59766,Human site,Suburban,Near road,DT,
18/04/2017,22:46,,Rabbit,2,Alive,TR 13965 59967,Human site,Suburban, near road,DT,
