Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
04/04/2017,17:00,Cloudy,Grey Squirrel,1,Alive,SU 98943 50234,Waterbody,Lake,"Near railway, residential",Zoe,
04/04/2017,17:15,Cloudy,Grey Squirrel,1,Alive,SU 98822 50270,Waterbody,Lake,"Near road, medium disturbance",Yuma and Dixie,Being chased by a coot
04/05/2017,17:00,Sunny,Grey Squirrel,1,Alive,SU 98865 50392,Waterbody,Lake,"Near railway, low disturbance",Yuma  ,
04/06/2017,17:50,Sunny,Grey Squirrel,1,Alive,SU 98619 50093,Human site,Suburban,"Residential, low disturbance",Zoe,
04/06/2017,18:00,Sunny,Grey Squirrel,1,Alive,SU 98381 50110,Human site,Suburban,"Residential, low disturbance",Dixie,
04/07/2017,16:00,Sunny,Grey Squirrel,1,Alive,SU 98733 50029,Human site,Suburban,"Residential, recreational ground",Zoe,
04/07/2017,17:30,Sunny,Cat,1,Alive,SU 98809 49898,Human site,Suburban,"Residential, near road, gardens",Zoe,
24/4/17,09:00,Sunny,Cat,1,Alive,SU 98754 49837,Human site,Suburban,"Residential, near road, gardens",Zoe,
24/4/17,20:30,Cloudy,Brown rat,1,Alive,SU 98144 50200,Human site,Suburban,"Near road, high disturbance",Dixie,
25/4/17,09:10,Sunny,Grey Squirrel,1,Alive,SU 98763 50004,Human site,Suburban,"Residential, low disturbance",Zoe,
27/4/17,09:00,Sunny,Cat,1,Alive,SU 98629 49770,Human site,Suburban,"Residential, near road, gardens",Zoe,
27/4/17,09:05,Sunny,Cat,1,Alive,SU 98717 49753,Human site,Suburban,"Residential, near road, gardens",Zoe,
27/4/17,09:08,Sunny,Grey Squirrel,2,Alive,SU 98719 50049,Human site,Suburban,"Residential, low disturbance",Zoe,
28/4/17,09:30,Cloudy,Cat,1,Alive,SU 98631 49759,Human site,Suburban,"Residential, near road, gardens",Zoe,
28/4/17,09:45,Cloudy,Grey Squirrel,1,Alive,SU 98611 50174,Human site,Suburban,"Recreational, high disturbance",Zoe,
30/4/17,09:00,Cloudy,Grey Squirrel,2,Alive,SU 98119 50195,Human site,Suburban,"Near road, high disturbance",Yuma and Dixie,
30/4/17,20:00,Cloudy,Grey Squirrel,1,Alive,SU 98118 50172,Human site,Suburban,"Near road, high disturbance",Yuma and Dixie,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
