Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
21/05/2017,21:05,Partly Cloudy,Common pip,2,Alive,SU 98784 50345,"Described in ""Habitat"" tab",,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:35,Partly Cloudy,Common pip,2,Alive,SU 98832 50378,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:35,Partly Cloudy,Common pip,1,Alive,SU 98832 50378,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:37,Partly Cloudy,Soprano pip,1,Alive,SU 98832 50378,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:47,Partly Cloudy,Common pip,1,Alive,SU 98897 50341,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:54,Partly Cloudy,Common pip,1,Alive,SU 98897 50341,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:55,Partly Cloudy,Common pip,2,Alive,SU 98896 50276,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,21:58,Partly Cloudy,Common pip,1,Alive,SU 98896 50276,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,22:05,Partly Cloudy,Common pip,1,Alive,SU 98896 50276,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,22:10,Partly Cloudy,Common pip,1,Alive,SU 98823 50303,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
21/05/2017,22:14,Partly Cloudy,Common pip,1,Alive,SU 98823 50303,,,,Zoe and Emily,Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,21:38,Clear,Soprano pip,1,Alive,SU 98784 50345,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,21:43,Clear,Common pip,1,Alive,SU 98784 50345,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,21:45,Clear,Common pip,1,Alive,SU 98832 50378,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,21:57,Clear,Common pip,1,Alive,SU 98832 50378,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,22:03,Clear,Soprano pip,3,Alive,SU 98896 50276,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,22:20,Clear,Common pip,1,Alive,SU 98823 50303,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
24/05/2017,22:22,Clear,Soprano pip,2,Alive,SU 98823 50303,,,,"Zoe, Yuma and Emily",Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,21:24,Clear,Soprano pip,2,Alive,SU 98784 50345,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,21:52,Clear,Soprano pip,3,Alive,SU 98832 50378,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,21:55,Clear,Common pip,1,Alive,SU 98832 50378,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,22:05,Clear,Common pip,1,Alive,SU 98897 50341,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,22:10,Clear,Soprano pip,3,Alive,SU 98896 50276,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,22:11,Clear,Common pip,1,Alive,SU 98896 50276,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,22:22,Clear,Common pip,3,Alive,SU 98823 50303,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
27/05/2017,22:25,Clear,Soprano pip,1,Alive,SU 98823 50303,,,,Zoe and Yuma,Bat detector and recorder,To be confirmed by Surrey Bat Group
