Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/05/2017,16:00,02/05/2017,02:50,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,03/05/2017,17:58,4,,Muntjac,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,03/05/2017,18:00,4,,Muntjac,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,07/05/2017,12:34,4,,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,07/05/2017,13:20,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,09/05/2017,11:01,4,,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,11/05/2017,00:17,4,,Red Fox,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,14/05/2017,05:47,4,,Muntjac,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,16:00,14/05/2017,12:17,4,,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
21/05/2017,16:45,21/05/2017,15:07,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
21/05/2017,16:45,26/05/2017,09:03,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
21/05/2017,16:45,29/05/2017,22:33,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
21/05/2017,16:45,29/05/2017,22:36,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
21/05/2017,16:45,30/05/2017,06:19,4,,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
21/05/2017,16:45,30/05/2017,07:54,4,,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,13:00,05/01/2017,18:54,2,SU 42176 15239,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,13:00,05/02/2017,01:16,2,SU 42176 15239,Red Fox,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,13:00,05/02/2017,09:53,2,SU 42176 15239,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,13:00,05/02/2017,09:55,2,SU 42176 15239,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,13:00,05/02/2017,09:57,2,SU 42176 15239,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/05/2017,13:00,05/02/2017,10:11,2,SU 42176 15239,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
