Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
16/05/2017,Live Trapping,T1,-,SK 69428 52497,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
17/05/2017,Live Trapping,T2,-,SK 69435 52493,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
18/05/2017,Live Trapping,T3,-,SK 69424 52494,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
19/05/2017,Live Trapping,T4,-,SK 69427 52489,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
20/05/2017,Live Trapping,T5,-,SK 69420 52490,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
21/05/2017,Live Trapping,T6,-,SK 69414 52488,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
22/05/2017,Live Trapping,T7,-,SK 69408 52484,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
23/05/2017,Live Trapping,T8,-,SK 69405 52477,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
24/05/2017,Live Trapping,T9,-,SK 69399 52478,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
25/05/2017,Live Trapping,T10,-,SK 69399 52474,Woodland,Mixed,"Moderate shrub layer, Moderate field later, Near road (50M)"
