Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
22/05/2017,Standard Walk ,SW,,SS 63077 92195,Woodland,Broadleaved,Moderate shrub layer
22/05/2017,Standard Walk ,SW,1,SS 63075 92177,Woodland,Mixed,Moderate shrub layer
22/05/2017,Standard Walk ,SW,1,SS 63115 92216,Woodland,Mixed,Moderate shrub layer
22/05/2017,Standard Walk ,SW,1,SS 63223 92147,Woodland,Mixed,"Dense shrub layer, moderate field layer"
22/05/2017,Standard Walk ,SW,1,SS 63201 92204,Woodland,Mixed,Moderate shrub layer
22/05/2017,Standard Walk ,SW,1,SS 63033 92174,Woodland,Mixed,"Dense shrub layer, moderate field layer"
22/05/2017,Standard Walk ,SW,1,SS 63158 92156,Woodland,Mixed,"Dense shrub layer, moderate field layer"
22/05/2017,Standard Walk ,SW,1,SS 63117 92118,Woodland,Mixed,"Dense shrub layer, moderate field layer"
22/05/2017,Opportunistic,O1,,SS 63008 92120,Woodland,Mixed,"Dense shrub layer, moderate field layer"
22/05/2017,Opportunistic,O2,,SS 63045 92258,Woodland,Mixed,"Dense shrub layer, moderate field layer"
25/05/2017,Opportunistic,O3,,SS 63407 92031,Woodland,Mixed,"Parkland, dense field layer"
25/05/2017,Opportunistic,O4,,SS 62743 92137,Woodland,Mixed,"Parkland, dense field layer"
30/05/2017,Opportunistic,O5,,SS 62874 91662,Woodland,Mixed,"Near road, parkland"
