Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
30/01/2017,11:52,"Overcast (100% cloud cover), and damp ground conditions, 6?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,2,30m,Hannah,
30/01/2017,11:52,"Overcast (100% cloud cover), and damp ground conditions, 6?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,1,10m,Sonia,
06/02/2017,11:18,"Sunny (20% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,1,30m,Sonia,
06/02/2017,11:18,"Sunny (20% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,1,15m,Sonia,
06/02/2017,11:18,"Sunny (20% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,4,10m,Hannah,
06/02/2017,11:18,"Sunny (20% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,1,5m,Hannah,
13/02/2017,11:07,"Sunny (0% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,1,40m,Sonia,
13/02/2017,11:07,"Sunny (0% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,2,20m,Sonia,
13/02/2017,11:07,"Sunny (0% cloud coverage), 5?C",Mixed Woodland (500m),Grey Squirrel Sciurus carolinensis,2,10m,Hannah,
25/03/2017,19:53,"Windy, (50% cloud cover) 8?C",Mixed Woodland (500m),Rabbit,2,2m,Kieran,
