Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
16/05/2017,10:00,"Dry, overcast",8,SK 69842 52073,Bank vole,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Male
16/05/2017,10:15,"Dry, overcast",7,SK 69844 52056,Wood mouse,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Male
17/05/2017,08:10,Raining,9,SK 69847 52078,Wood mouse,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Male
17/05/2017,08:15,Raining,10,SK 69853 52082,Bank vole,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Male
19/05/2017,08:45,Raining,13,SK 69848 52063,Wood mouse,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Male
19/05/2017,09:00,Raining,10,SK 69853 52082,Wood mouse,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Female
22/05/2017,08:30,"Dry, overcast",13,SK 69848 52063,Bank vole,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Male
22/05/2017,08:40,"Dry, overcast",9,SK 69847 52078,Wood mouse,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Richard Yarnell,Female
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
