Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
07/05/2017,18:47,Sunny,Rabbit,1,Alive,TR 13455 59728,Human Site,Suburban,Residential,Kieran Richardson,
09/05/2017,13:09,Sunny,Rabbit,2,Alive,TR 13236 59574,Human Site,Suburban,near road (50m),Kieran Richardson,
09/05/2017,13:09,Sunny,Grey Squirrel,1,Alive,TR 13236 59574,Human Site,Suburban,near road (50m),Kieran Richardson,
11/05/2017,10:14,Sunny,Grey Squirrel,1,Alive,TR 13251 59597,Human Site,Suburban,near road (50m),Kieran Richardson,
13/05/2017,09:31,Cloudy,Grey Squirrel,2,Alive,TR 13252 59709,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
13/05/2017,09:47,Cloudy,Rabbit,1,Alive,TR 13341 59814,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
13/05/2017,09:49,Cloudy,Rabbit,1,Alive,TR 13261 59668,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
13/05/2017,09:50,Cloudy,Grey Squirrel,1,Alive,TR 13250 59617,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
15/05/2017,16:24,Cloudy,Grey Squirrel,1,Alive,TR 13223 59592,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
15/05/2017,16:29,Cloudy,Rabbit,5,Alive,TR 13236 59574,Human Site,Suburban,near road (50m),Kieran Richardson,
20/05/2017,16:39,Sunny,Hedgehog,1,Alive,TR 13120 59931,Human Site,Suburban,"recreational area, near road (50m)",Kieran Richardson,
22/05/2017,12:24,Sunny,Bank Vole,1,Alive,TR 13262 59706,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
22/05/2017,14:37,Sunny,Rabbit,1,Alive,TR 13092 59760,Human Site,Suburban,recreational area,Kieran Richardson,
22/05/2017,14:39,Sunny,Rabbit,2,Alive,TR 13084 59577,Human Site,Suburban,recreational area,Kieran Richardson,
22/05/2017,14:39,Sunny,Grey Squirrel,1,Alive,TR 13084 59577,Human Site,Suburban,recreational area,Kieran Richardson,
22/05/2017,14:39,Sunny,Grey Squirrel,1,Alive,TR 13186 59580,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
28/05/2017,09:23,Cloudy,Grey Squirrel,2,Alive,TR 13254 59638,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
28/05/2017,09:24,Cloudy,Rabbit,1,Alive,TR 13253 59697,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
28/05/2017,09:25,Cloudy,Grey Squirrel,1,Alive,TR 13311 59789,Human Site,Suburban,recreational area,Kieran Richardson,
28/05/2017,09:29,Cloudy,Grey Squirrel,4,Alive,TR 13362 59774,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
28/05/2017,09:29,Cloudy,Rabbit,1,Alive,TR 13362 59774,Human Site,Suburban,"Residential, near road (50m)",Kieran Richardson,
