Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
03/05/2017,12:40,"Clear, sunny",Rabbit,10,Alive,TG 19550 07518,Human site,Urban,Park/recreational area,Shawnee,
07/05/2017,14:00,Cloudy,Grey Squirrel,3,Alive,TG 19417 08268,Woodland,Broadleaved,Near road (50 m),Eleanor,
10/05/2017,15:00,Cloudy,Rabbit,3,Alive,TG 18890 07399,Woodland,Broadleaved,Moderate shrub layer (bluebells),Eleanor,
10/05/2017,15:00,Cloudy,Grey Squirrel,1,Alive,TG 18890 07399,Woodland,Broadleaved,Moderate shrub layer (bluebells),Eleanor,
10/05/2017,18:00,"Clear, sunny",Rabbit,3,Alive,TG 19602 07706,Human site,Urban,Near road (50 m),Shawnee,
10/05/2017,18:05,"Clear, sunny",Rabbit,1,Alive,TG 19459 07773,Human site,Urban,Near road (50 m),Shawnee,
13/05/2017,22:05,Cloudy,Hedgehog,1,Alive,TG 20004 08220,Human site,Urban,Residential,Steven,
01/05/2017,10:10,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
04/05/2017,18:30,"Cloudy, warm",Rabbit,12,Alive,TG 19642 07703,Human site,Urban,Near road (50 m),Ellen,
05/05/2017,20:10,"Cloudy, windy",Rabbit,1,Alive,TG 19356 08222,Human site,Urban,Near road (50 m),Ellen,
05/05/2017,20:10,"Cloudy, windy",Rabbit,3,Alive,TG 19418 07922,Human site,Urban,Near road (50 m),Ellen,
05/05/2017,20:15,"Cloudy, windy",Rabbit,8,Alive,TG 19371 07772,Human,Suburban,Municipal park/recreational area,Ellen,
05/05/2017,20:15,"Cloudy, windy",Rabbit,2,Alive,TG 19495 07697,Human,Suburban,Municipal park/recreational area,Ellen,
06/05/2017,03:00,Rain,Cat,1,Alive,TG 19107 08577,Human site,Urban,Near road (50 m),Ellen,
10/05/2017,10:30,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
12/05/2017,14:30,Cloudy,Grey Squirrel,1,Alive,TG 19357 08212,Human site,Urban,Near road (50 m),Ellen,
16/05/2017,14:00,Very hot,Grey Squirrel,1,Alive,TG 19121 07431,Human,Suburban,Municipal park/recreational area,Ellen,
16/05/2017,16:50,Very hot,Rabbit,1,Alive,TG 19357 08212,Human,Urban,Near road (50 m),Ellen,
23/05/2017,20:00,Cool,Rabbit,10,Alive,TG 18600 07181,Human,Suburban,Municipal park/recreational area,Ellie ,
23/05/2017,20:20,Cool,Rabbit,5,Alive,TG 19198 07278,Human,Suburban,Municipal park/recreational area,Ellie ,
23/05/2017,20:45,Cool,Rabbit,50,Alive,TG 19769 07479,Human,Suburban,Municipal park/recreational area,Ellie ,
24/05/2017,08:10,"Warm, clear",Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
25/05/2017,08:30,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
25/05/2017,17:15,Sunny,Rabbit,1,Alive,TG 19430 07790,Human,Urban,Near road (50 m),Ellen,
25/05/2017,19:15,Sunny,Rabbit,1,Alive,TG 19384 08203,Human,Urban,Near road (50 m),Ellen,
27/05/2017,11:05,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
28/05/2017,17:00,Sunny,Squirrel,1,Alive,TG 19023 08287,Human,Suburban,Municipal park/recreational area,Ellen,
28/05/2017,17:20,Sunny,Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
29/05/2017,10:15,Cloudy,Cat,1,Alive,TG 19088 08592,Human,Suburban,Garden,Ellen,
30/05/2017,08:00,"Cloudy, warm",Cat,1,Alive,TG 19073 08582,Human,Suburban,Garden,Ellen,
30/05/2017,17:05,"Cloudy, warm",Rabbit,1,Alive,TG 19344 08191,Human site,Urban,Near road (50 m),Ellen,
31/05/2017,11:10,Sunny,Rabbit,2,Alive,TG 19592 07672,Human,Suburban,"Garden, near road (50m)",Shawnee,
31/05/2017,11:15,Sunny,Rabbit,1,Dead,TG 19592 07672,Human,Suburban,"Garden, near road (50m)",Shawnee,
31/05/2017,12:30,Sunny,Rabbit,1,Alive,TG 19145 06918,Woodland,Broadleaved,"Moderate shrub layer, dense field layer, near road",Shawnee,
31/05/2017,09:50,Sunny,Cat,1,Alive,TG 19068 08578,Human,Suburban,Garden,Ellen,
